decision_id,candidate_id,evidence_id,run_id,source_id,decision,readiness_level,reject_reason,gate_notes
DEC-0000019,CAND-0000019,EV-000011,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000020,CAND-0000020,EV-000011,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000021,CAND-0000021,EV-000012,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000022,CAND-0000022,EV-000012,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000023,CAND-0000023,EV-000012,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,COMSOL_context_not_verified,voxel evidence found; COMSOL readiness requires optical context and PI alignment
DEC-0000024,CAND-0000024,EV-000013,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000025,CAND-0000025,EV-000013,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000026,CAND-0000026,EV-000013,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000027,CAND-0000027,EV-000013,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,COMSOL_context_not_verified,voxel evidence found; COMSOL readiness requires optical context and PI alignment
DEC-0000028,CAND-0000028,EV-000014,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000029,CAND-0000029,EV-000014,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000030,CAND-0000030,EV-000014,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,COMSOL_context_not_verified,voxel evidence found; COMSOL readiness requires optical context and PI alignment
DEC-0000031,CAND-0000031,EV-000015,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000032,CAND-0000032,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000033,CAND-0000033,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000034,CAND-0000034,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000035,CAND-0000035,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,threshold candidate passes writing/polymerization local context gate
DEC-0000036,CAND-0000036,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000037,CAND-0000037,EV-000016,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,voxel_dimension_missing,voxel validation needs size evidence
DEC-0000038,CAND-0000038,EV-000017,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000039,CAND-0000039,EV-000017,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000040,CAND-0000040,EV-000018,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000041,CAND-0000041,EV-000018,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,voxel_dimension_missing,voxel validation needs size evidence
DEC-0000042,CAND-0000042,EV-000019,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000043,CAND-0000043,EV-000019,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,voxel_dimension_missing,voxel validation needs size evidence
DEC-0000044,CAND-0000044,EV-000020,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000045,CAND-0000045,EV-000020,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,voxel_dimension_missing,voxel validation needs size evidence
DEC-0000046,CAND-0000046,EV-000021,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000047,CAND-0000047,EV-000021,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000048,CAND-0000048,EV-000022,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000049,CAND-0000049,EV-000022,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000050,CAND-0000050,EV-000023,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000051,CAND-0000051,EV-000023,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000052,CAND-0000052,EV-000023,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000053,CAND-0000053,EV-000023,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,voxel_dimension_missing,voxel validation needs size evidence
DEC-0000054,CAND-0000054,EV-000024,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,possible_C_external_sigma2,external/mismatched sigma2 cannot enter main analysis without audit
DEC-0000055,CAND-0000055,EV-000024,tpe-20260828T082358Z-fd53a34a,ZPC-000028,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000056,CAND-0000056,EV-000025,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000057,CAND-0000057,EV-000026,tpe-20260828T082358Z-fd53a34a,ZPC-000028,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000058,CAND-0000058,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000059,CAND-0000059,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000060,CAND-0000060,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000061,CAND-0000061,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000062,CAND-0000062,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000063,CAND-0000063,EV-000027,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000064,CAND-0000064,EV-000028,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000065,CAND-0000065,EV-000028,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000066,CAND-0000066,EV-000028,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000067,CAND-0000067,EV-000028,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000068,CAND-0000068,EV-000028,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000069,CAND-0000069,EV-000029,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000070,CAND-0000070,EV-000029,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000071,CAND-0000071,EV-000030,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000072,CAND-0000072,EV-000030,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000073,CAND-0000073,EV-000030,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000074,CAND-0000074,EV-000030,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000075,CAND-0000075,EV-000031,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000076,CAND-0000076,EV-000031,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000077,CAND-0000077,EV-000031,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,"sigma2 candidate has value, unit, and wavelength anchor; A/B quality still needs audit"
DEC-0000078,CAND-0000078,EV-000031,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000079,CAND-0000079,EV-000032,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000080,CAND-0000080,EV-000032,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000081,CAND-0000081,EV-000033,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000082,CAND-0000082,EV-000033,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000083,CAND-0000083,EV-000034,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000084,CAND-0000084,EV-000034,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000085,CAND-0000085,EV-000035,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000086,CAND-0000086,EV-000036,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000087,CAND-0000087,EV-000037,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000088,CAND-0000088,EV-000037,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000089,CAND-0000089,EV-000037,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000090,CAND-0000090,EV-000039,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000091,CAND-0000091,EV-000039,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000092,CAND-0000092,EV-000039,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000093,CAND-0000093,EV-000040,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000094,CAND-0000094,EV-000041,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000095,CAND-0000095,EV-000042,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000096,CAND-0000096,EV-000043,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000097,CAND-0000097,EV-000044,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000098,CAND-0000098,EV-000045,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000099,CAND-0000099,EV-000046,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000100,CAND-0000100,EV-000047,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000101,CAND-0000101,EV-000047,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000102,CAND-0000102,EV-000048,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000103,CAND-0000103,EV-000049,tpe-20260828T082358Z-fd53a34a,ZPC-000049,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000104,CAND-0000104,EV-000050,tpe-20260828T082358Z-fd53a34a,ZPC-000049,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000105,CAND-0000105,EV-000051,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000106,CAND-0000106,EV-000051,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000107,CAND-0000107,EV-000052,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000108,CAND-0000108,EV-000052,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000109,CAND-0000109,EV-000052,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000110,CAND-0000110,EV-000053,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000111,CAND-0000111,EV-000053,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000112,CAND-0000112,EV-000054,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000113,CAND-0000113,EV-000055,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000114,CAND-0000114,EV-000055,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000115,CAND-0000115,EV-000057,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,threshold candidate passes writing/polymerization local context gate
DEC-0000116,CAND-0000116,EV-000057,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000117,CAND-0000117,EV-000058,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000118,CAND-0000118,EV-000058,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000119,CAND-0000119,EV-000059,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000120,CAND-0000120,EV-000060,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000121,CAND-0000121,EV-000060,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000122,CAND-0000122,EV-000061,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000123,CAND-0000123,EV-000061,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000124,CAND-0000124,EV-000063,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000125,CAND-0000125,EV-000063,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000126,CAND-0000126,EV-000063,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000127,CAND-0000127,EV-000063,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000128,CAND-0000128,EV-000064,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,threshold candidate passes writing/polymerization local context gate
DEC-0000129,CAND-0000129,EV-000064,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000130,CAND-0000130,EV-000065,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000131,CAND-0000131,EV-000066,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000132,CAND-0000132,EV-000066,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000133,CAND-0000133,EV-000067,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000134,CAND-0000134,EV-000068,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000135,CAND-0000135,EV-000069,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000136,CAND-0000136,EV-000069,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000137,CAND-0000137,EV-000069,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000138,CAND-0000138,EV-000069,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
DEC-0000139,CAND-0000139,EV-000070,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,threshold candidate passes writing/polymerization local context gate
DEC-0000140,CAND-0000140,EV-000070,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000141,CAND-0000141,EV-000071,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000142,CAND-0000142,EV-000072,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000143,CAND-0000143,EV-000072,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000144,CAND-0000144,EV-000073,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,loading_not_normalizable,raw loading retained but mmol/g cannot be generated
DEC-0000145,CAND-0000145,EV-000073,tpe-20260828T082358Z-fd53a34a,ZPC-000385,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000146,CAND-0000146,EV-000074,tpe-20260828T082358Z-fd53a34a,ZPC-000385,manual_review,manual_review_required,context_missing_resin,resin formulation evidence not explicit in parsed block
DEC-0000147,CAND-0000147,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000148,CAND-0000148,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000149,CAND-0000149,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000150,CAND-0000150,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000151,CAND-0000151,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000152,CAND-0000152,EV-000075,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,context candidate has wavelength and resin signal; equality across all PIs still needs audit
DEC-0000153,CAND-0000153,EV-000076,tpe-20260828T082358Z-fd53a34a,ZPC-001953,auto_accept,manual_review_required,,loading candidate has raw value/unit; normalization basis recorded
DEC-0000154,CAND-0000154,EV-000076,tpe-20260828T082358Z-fd53a34a,ZPC-001953,manual_review,manual_review_required,context_missing_wavelength,wavelength is mandatory for series lock
