priority_rank,priority_score,entity_id,paper_id,doi,source_label,occurrence_count,text_decision_status,text_confidence_tier,text_inchikey,text_fragment_count,candidate_rows,candidate_channels,single_fragment_rows,multifragment_rows,wildcard_rows,rdkit_valid_rows,exact_text_fragment_rows,exact_text_fragment_channels,distinct_complete_candidate_inchikeys,recommended_next_action,triage_class,automatic_acceptance_eligible,reason,scientific_use_boundary
11,271,SRCENT-46074ac79ecf8ea92d,OA2P-000181,10.1038/ncomms11975,PI 4,1,unresolved_no_eligible_source_text_definition,U_text,,0,5,numbered;numbered260;numbered400;source2,5,0,0,5,0,,2,resolve_competing_complete_panel_structures,competing_structures,no,more than one complete molecular topology is associated with the source label,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
12,271,SRCENT-1f6359af56a12920ee,zotero_87BWABRN,10.1039/c4tc00706a,compound 1,1,unresolved_no_eligible_source_text_definition,U_text,,0,13,numbered;numbered260;numbered400;source2,6,6,0,12,0,,2,resolve_competing_complete_panel_structures,competing_structures,no,more than one complete molecular topology is associated with the source label,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
13,165,SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,15,unresolved_no_eligible_source_text_definition,U_text,,0,9,numbered;numbered3;source,0,6,0,6,0,,0,improve_panel_pairing_or_source_definition,structure_candidate_not_uniquely_linked,no,structure candidates exist but no unique complete identity can be linked,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
14,153,SRCENT-1677f2583369af7b6f,ZPC-000685,10.1021/ma9514838,PI 5,3,unresolved_no_eligible_source_text_definition,U_text,,0,3,numbered;numbered3;source2,0,0,0,0,0,,0,improve_panel_pairing_or_source_definition,structure_candidate_not_uniquely_linked,no,structure candidates exist but no unique complete identity can be linked,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
15,152,SRCENT-a4c3643d22be623181,ZPC-005453,10.1002/admi.202202352,PI 0,2,unresolved_no_eligible_source_text_definition,U_text,,0,5,numbered;numbered260;source2,5,0,0,5,0,,1,improve_panel_pairing_or_source_definition,structure_candidate_not_uniquely_linked,no,structure candidates exist but no unique complete identity can be linked,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
16,113,SRCENT-c1822a836fb7c8d432,ZPC-000385,10.1166/jnn.2013.6011,PI 3,13,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
17,112,SRCENT-12730bbc955ae60eae,ZPC-002104,10.1021/acsapm.5c01802,PI 1,12,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
18,112,SRCENT-98a4b67090967e0b8b,ZPC-002104,10.1021/acsapm.5c01802,PI 3,12,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
19,110,SRCENT-cbed2fe764e54f3a86,ZPC-004082,10.1016/j.porgcoat.2019.06.027,OXE1,10,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
20,107,SRCENT-c24b5a945cddfaa9cf,ZPC-001953,10.1038/s41598-017-17391-1,PI 2,7,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
21,106,SRCENT-da0b8ed42298284a7b,ZPC-005323,10.1002/polb.24891,thioxanthone,6,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
22,104,SRCENT-8e15764522dc236729,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 1,4,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
23,103,SRCENT-fe7efd003eaed4b103,ZPC-004762,10.1021/acs.macromol.8b02640,compound 4,3,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
24,103,SRCENT-de2eda9af43d872c06,zotero_B6B7CEZ3,10.1021/acsapm.0c01291,PI 2,3,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
25,102,SRCENT-85be4c9bdaf097b004,ZPC-000269,10.1002/app.38488,HTE4-30,2,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
26,101,SRCENT-34230a461b8f18a7b9,ZPC-001606,10.1021/acs.macromol.1c00761,compound 5,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
27,101,SRCENT-fec526dffb25f1f1cd,ZPC-004576,10.1002/app.32576,benzophenone,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
28,101,SRCENT-efd88b29c51b679006,ZPC-005809,10.1021/ma900887h,PI 4,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
29,101,SRCENT-2fdf60bd6fb3e2f85c,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,thioxanthone,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
30,101,SRCENT-b96775b3cab2362d89,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,compound 1,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
31,101,SRCENT-037e697ec4b511929e,zotero_AU74BQZ6,10.37188/lam.2023.004,thioxanthone,1,unresolved_no_eligible_source_text_definition,U_text,,0,0,,0,0,0,0,0,,0,acquire_fulltext_structure_panel_or_explicit_name,no_structure_candidate,no,no source-panel molecular structure candidate is currently registered,"Identity triage only; not numerical evidence, a model label, an external-validation observation, a screening decision, or a COMSOL input."
