representative_id,zinc_id,canonical_smiles,mechanism_lane,selection_role,family_id,lane_family_priority_score,D06_sigma_max,F06_sigma_max,D06_F06_discordance,AD_tier,novelty_class,mechanism_completeness,selection_rationale,neutral_qm_status,mechanism_specific_evidence,key_numeric_result,evidence_tier,decision_status,claim_limit
TII-04,ZINCs800000064K3,CN(C)c1nc(Cc2noc(Cn3ncc(=O)c4ccccc43)n2)nc(=N)[nH]1,Type-II,primary_mechanism_representative,coinitiator_dependent_TypeII_primary__GRF_63c27a690ceb6b,0.7291560280082989,264.6932235685985,265.84569222916645,1.1524686605679335,AD_near,Novel-core exploratory,L3_complete_role_closure,high Type-II carbonyl family score with declared coinitiator/H-donor validation requirement and superfamily diversity,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=0.352 eV; class=near_thermoneutral_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
TII-05,ZINCsa00002DD1J4,C[C@@H](Nc1ncnc(=NCc2nnc3c(=O)[nH]ccn23)[nH]1)c1c[nH]ccc1=O,Type-II,high_novelty_explainable_representative,coinitiator_dependent_TypeII_primary__GRF_8b01cff0618797,0.41985330082987554,419.9746104386413,520.8150912663738,100.84048082773243,AD_high_risk,Novel-core exploratory,L2_partial_mechanism,high novelty family representative retained only if risk is explainable within the lane mechanism,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=0.908 eV; class=endergonic_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
TII-06,ZINCs800002KKqfG,N=c1[nH]cnc2c(C(=O)NC3CN(c4ccc5c(n4)CCCC5=O)C3)cnn12,Type-II,high_novelty_explainable_representative,coinitiator_dependent_TypeII_primary__GRF_1742195caa1c69,0.5920050876556017,327.0388664072921,258.3096228612903,68.72924354600184,AD_near,Novel-core exploratory,L3_complete_role_closure,high novelty family representative retained only if risk is explainable within the lane mechanism,normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=0.898 eV; class=endergonic_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
TII-07,ZINCr900001jQooH,O=C1CC[C@@H](OCC(=O)OCC(=O)c2cc3ccccc3oc2=O)C(=O)N1,Type-II,same_family_or_neighbor_boundary_control,coinitiator_dependent_TypeII_primary__GRF_6dcf0556a72f49,0.7879972894190872,445.5628436690096,448.7737029432931,3.2108592742834503,AD_near,Novel-core exploratory,L2_partial_mechanism,"same-family or near-neighbor boundary/control, not a discovery claim",normal minimum; zero imaginary frequencies,Triethylamine coinitiator reference and candidate radical-anion stable-point calculations available.,photo-ET proxy=-0.150 eV; class=exergonic_proxy,coinitiator-compatible exploratory with ET-proxy support,retain with explicit coinitiator context,"TEA Gibbs reference plus candidate vertical SCF EA and first bright excitation; not explicit pair geometry, not full Gibbs DeltaG_ET"
SP-01,ZINCt800000ddIcV,CCc1nc(N2CC3(CN(C(=O)c4ccc5ncc(=O)[nH]c5c4)C3)C2)[nH]c(=N)n1,SET/PET,primary_mechanism_representative,radical_exploratory_SET_PET__GRF_7cb3146b47f2f4,0.7008025833333332,402.361110082242,398.6229519923374,3.73815808990463,AD_near,Novel-core exploratory,L3_complete_role_closure,high SET/PET D-pi-A family score with explicit donor/acceptor/conjugation hypothesis required for TD/NTO/redox QM,normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=0.5070 Å; EA_vertical=1.643 eV; IP_vertical=6.907 eV; redox input ready,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,manual D/A assignment available; NTO overlap means not a confirmed long-range CT state; DeltaG_ET still requires explicit direction/context postprocess
SP-02,ZINCr900001or2kq,N=c1nc(N2CC[C@@H](C(N)=O)C2)[nH]c(=NCc2ccc3nccnc3c2)[nH]1,SET/PET,primary_mechanism_representative,radical_exploratory_SET_PET__GRF_a0b525d978d120,0.6884376111111111,357.5094877209321,359.7021459566152,2.1926582356830977,AD_near,Novel-core exploratory,L3_complete_role_closure,high SET/PET D-pi-A family score with explicit donor/acceptor/conjugation hypothesis required for TD/NTO/redox QM,normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=1.3132 Å; EA_vertical=1.323 eV; IP_vertical=7.071 eV; redox input ready,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,manual D/A assignment available; localized/overlapping NTO supports short-range or mixed ICT rather than clean separated CT
SP-03,ZINCt800002x9kyS,CN(Cc1nnc2c(=O)[nH]ccn12)c1nc(=N)nc(N2CCSC3(CCC3)C2)[nH]1,SET/PET,primary_mechanism_representative,radical_exploratory_SET_PET__GRF_d04aa41194f571,0.6752266388888889,330.8535995300297,326.56436996530994,4.28922956471979,AD_near,Novel-core exploratory,L3_complete_role_closure,high SET/PET D-pi-A family score with explicit donor/acceptor/conjugation hypothesis required for TD/NTO/redox QM,normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=1.0948 Å; EA_vertical=0.295 eV; IP_vertical=6.581 eV; redox input ready,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,"manual D/A assignment available; acceptor EA proxy is modest, so classify as SET/PET exploratory not validated"
SP-04,ZINCs900002OMkJ7,Cc1ccc2oc(=O)n(CC(=O)NNc3nc(N(C)C)nc(N(C)C)n3)c2c1,SET/PET,primary_mechanism_representative,radical_exploratory_SET_PET__GRF_07d3bc505e9a4f,0.6747951388888889,257.35341027056995,252.51409139902705,4.8393188715429005,AD_near,Novel-core exploratory,L3_complete_role_closure,high SET/PET D-pi-A family score with explicit donor/acceptor/conjugation hypothesis required for TD/NTO/redox QM,normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=0.4181 Å; EA_vertical=-0.002 eV; IP_vertical=6.771 eV; redox input ready but acceptor-side reduction is weak by vertical SCF proxy,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,manual D/A assignment available; weak EA and overlapping NTO make this a boundary SET/PET case
SP-05,ZINCr8000028oLXh,c1nc(N2CCN(c3cncc4ncnn34)CC2)nc(N2CC3CC2C3)n1,SET/PET,high_novelty_explainable_representative,radical_exploratory_SET_PET__GRF_52767d11ef99f4,0.4339955,121.37225583204722,107.56999340718798,13.802262424859236,AD_near,Novel-core exploratory,L3_complete_role_closure,high novelty family representative retained only if risk is explainable within the lane mechanism,normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=1.0217 Å; EA_vertical=0.765 eV; IP_vertical=6.716 eV; redox input ready,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,manual D/A assignment available; classify as mixed/local ICT input rather than fully separated charge-transfer state
SP-06,ZINCt800002HPD8j,N=c1nc(N2CCN(c3cncc4ncnn34)CC2)[nH]c(N2C[C@H]3CC[C@H]2C3)n1,SET/PET,high_novelty_explainable_representative,radical_exploratory_SET_PET__GRF_3affd3297df29e,0.5646854722222222,186.3099637455388,186.7789439952913,0.4689802497525193,AD_near,Novel-core exploratory,L3_complete_role_closure,high novelty family representative retained only if risk is explainable within the lane mechanism,failed or unavailable,Neutral-geometry rescue failed.,,excluded,exclude from mechanism-supported discussion,No mechanistic claim is permitted for the failed neutral geometry.
SP-07,ZINCr900001waGA8,N=c1nc(N2CC[C@H](C(N)=O)C2)[nH]c(=NCc2ccc3nccnc3c2)[nH]1,SET/PET,same_family_or_neighbor_boundary_control,radical_exploratory_SET_PET__GRF_a0b525d978d120,0.6884376111111111,351.5437595522037,357.0441164377342,5.500356885530493,AD_near,Novel-core exploratory,L3_complete_role_closure,"same-family or near-neighbor boundary/control, not a discovery claim",normal minimum; zero imaginary frequencies,Manual donor/acceptor assignment and vertical redox inputs available; localized_or_overlapping_NTO.,NTO centroid distance=1.1871 Å; EA_vertical=1.342 eV; IP_vertical=6.919 eV; redox input ready,redox-input plus manual D/A-adjudication exploratory,retain as exploratory SET/PET hypothesis,manual D/A assignment available; boundary/control analogue of SP-02
