source_id,doi,title,year,journal,source_type,topic_scope,evidence_record_count,evidence_location,evidence_use_summary,metadata_status,status
SRC018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,2021,ACS Applied Polymer Materials,journal-article,2PP;DLW;LED;TPP;bio; Type II;mixed_or_unknown; Type-I; Type-II; Type-II_or_donor_tuned; boundary_excluded,14,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,2023,ACS Applied Polymer Materials,journal-article,2PL;2PP;TPP;bio; TPP-specific; Type-I; Type-II; boundary_excluded,14,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC020,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,2024,ACS Applied Polymer Materials,journal-article,2PL;2PP;LED;TPP;bio;cationic; Type-I; Type-II; boundary_excluded; mixed_or_unknown,15,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC021,10.1021/cm500612w,"π-Expanded Ketocoumarins as Efficient, Biocompatible Initiators for Two-Photon-Induced Polymerization",2014,Chemistry of Materials,journal-article,2PP;FRP;LED;TPP;bio; TPP-specific; Type-I; Type-II; boundary_excluded,16,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC022,10.1021/ja991990v,Near-IR Two-Photon Photoinitiated Polymerization Using a Fluorone/Amine Initiating System,2000,Journal of the American Chemical Society,journal-article,Type-I; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,2013,Macromolecules,journal-article,2PP;TPP;bio; TPP-specific; Type-I; Type-II_or_optical_boundary; boundary_excluded,14,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC024,10.1021/ma302641d,Panchromatic Type II Photoinitiator for Free Radical Polymerization Based on Thioxanthone Derivative,2013,Macromolecules,journal-article,Type-I; Type-II; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines",2018,Scientific Reports,journal-article,2PP;LED;TPP;bio; SET/PET_or_optical; TPP-specific; Type-I; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC026,10.1039/c6ra27176f,Photoinitiators for two-photon polymerisation: effect of branching and viscosity on polymerisation thresholds,2017,RSC Advances,journal-article,LED;TPP;bio; SET/PET_or_optical; TPP-specific; Type-I; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC027,10.3390/polym15020342,High-Performance Photoinitiating Systems for LED-Induced Photopolymerization,2023,Polymers,journal-article,FRP;LED;bio;cationic; Type-I; Type-II; boundary_excluded; mixed_or_unknown,16,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC028,10.3390/polym15051148,Latest Advances in Highly Efficient Dye-Based Photoinitiating Systems for Radical Polymerization,2023,Polymers,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,2023,Polymers,journal-article,LED; Type-I; boundary_excluded; mixed_or_unknown,11,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC030,10.1016/j.eurpolymj.2023.112597,Recent advances on phenothiazine-based oxime esters as visible light photoinitiators of polymerization,2024,European Polymer Journal,journal-article,Type-I,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC031,10.1016/j.dyepig.2023.111202,Photoinitiation behavior of phenothiazines containing two oxime ester functionalities (OXEs) in free radical photopolymerization and 3D printing application,2023,Dyes and Pigments,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC032,10.1016/j.eurpolymj.2023.111901,A review on recently proposed oxime ester photoinitiators,2023,European Polymer Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC033,10.1039/c3tc00623a,Synthesis and two-photon properties of a novel multi-branched chromophore with an unsymmetrically substituted scaffold derived from functionalized quinoxalinoid heterocycles,2013,Journal of Materials Chemistry C,journal-article,Type-I; SET/PET_or_optical; Type-II_or_donor_tuned; SET/PET_or_optical,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC034,10.1002/cphc.201402646,"π‐Expanded α,β‐Unsaturated Ketones: Synthesis, Optical Properties, and Two‐Photon‐Induced Polymerization",2014,ChemPhysChem,journal-article,SET/PET_or_optical,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC035,10.1039/b609309d,"Carbazole-based 1D and 2D hemicyanines: synthesis, two-photon absorption properties and application for two-photon photopolymerization 3D lithography",2007,New Journal of Chemistry,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC036,10.1039/c8me00101d,Towards efficient initiators for two-photon induced polymerization: fine tuning of the donor/acceptor properties,2019,Molecular Systems Design & Engineering,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC037,10.1002/ejoc.201300345,"Synthesis and Two‐Photon Absorption Properties of Symmetrical Chromophores Derived from 2,3,5‐Trisubstituted Quinoxaline Units",2013,European Journal of Organic Chemistry,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC038,10.1021/jp050368o,"The Ultrafast Dynamics and Nonlinear Optical Properties of Tribranched Styryl Derivatives Based on 1,3,5-Triazine",2005,The Journal of Physical Chemistry B,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",publisher_verified,traceable_source
SRC039,10.1038/s41467-021-23170-4,Efficient 3D printing via photooxidation of ketocoumarin based photopolymerization,2021,Nature Communications,journal-article,SET/PET_or_optical; boundary_review,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC040,10.4012/dmj.2009-137,A review of the development of radical photopolymerization initiators used for designing light-curing dental adhesives and resin composites,2010,Dental Materials Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC041,10.1016/j.eurpolymj.2023.111883,The future of visible light photoinitiators of polymerization for photocrosslinking applications,2023,European Polymer Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC042,10.1039/b900464e,Triphenylamine-modified quinoxaline derivatives as two-photon photoinitiators,2009,New Journal of Chemistry,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC043,10.1016/j.eurpolymj.2024.112794,Recent advances on core-extended thioxanthones as efficient photoinitiators of polymerization,2024,European Polymer Journal,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
SRC044,10.1021/acsapm.8b00165,Photopolymerization in 3D Printing,2019,ACS Applied Polymer Materials,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source
