paper_id,doi,title,parse_status,page_count,text_char_count,structured_evidence_status,notes
ZPC-000714,10.1021/acs.jafc.5b00796,Development of iron-chelating poly(ethylene terephthalate) packaging for inhibiting lipid oxidation in oil-in-water emulsions,parsed,6,33597,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000724,10.1021/ma071287o,Ambient-temperature RAFT polymerization of styrene and its functional derivatives under mild long-wave UV-vis radiation,parsed,10,52816,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000740,10.1021/acsabm.2c00214,Fast-curing injectable microporous hydrogel for in situ cell encapsulation,parsed,9,48457,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000769,10.1039/c1py00106j,Functional poly(vinylidene fluoride) copolymer membranes via surface-initiated thiol-ene click reactions,parsed,10,50101,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000779,10.1021/acsami.1c00831,High refractive index photopolymers by thiol-yne “click” polymerization,parsed,12,57853,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000824,10.1021/acs.langmuir.5b03484,Simultaneous formation of a self-wrinkled surface and silver nanoparticles on a functional photocuring coating,parsed,27,53153,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000828,10.1016/j.actbio.2015.03.024,Covalently-crosslinked mucin biopolymer hydrogels for sustained drug delivery,parsed,9,53462,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000835,10.1016/j.porgcoat.2020.105820,One-step synthesis of novel renewable multi-functional linseed oil-based acrylate prepolymers and its application in UV-curable coatings,parsed,10,51859,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000843,10.1039/c3py01064c,Evaluation and development of novel photoinitiator complexes for photoinitiating the copper-catalyzed azide-alkyne cycloaddition reaction,parsed,10,40114,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000884,10.1021/ma990821s,A novel sequential photoinduced living graft polymerization,parsed,5,27741,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000889,10.1016/j.saa.2019.117447,Synthesis and quantitative analyses of acrylamide-grafted poly(lactide-co-glycidyl methacrylate) amphiphilic copolymers for environmental and biomedical applications,parsed,12,54763,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000901,10.1021/acsapm.1c00752,Initiator-free photohydrogelation of linear coumarin-containing poly(ethylene glycol) methacrylates and study of ultrasound-triggered gel breakdown,parsed,11,54736,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000946,10.1016/j.indcrop.2019.04.039,Synthesis and characterization of a novel tri-functional bio-based methacrylate prepolymer from castor oil and its application in UV-curable coatings,parsed,9,42814,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000963,10.1002/adfm.200700448,Photosensitive carbon nanotube paste based on acrylated single-walled carbon nanotubes,parsed,6,25510,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-000981,10.1038/s41598-025-04254-3,Analysis of monomer ratios in a dimethacrylate mixture using positron annihilation spectroscopy,parsed,8,31666,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001071,10.1016/j.dental.2014.02.021,The reciprocity law concerning light dose relationships applied to BisGMA/TEGDMA photopolymers: Theoretical analysis and experimental characterization,parsed,8,36530,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001089,10.1002/adfm.201707107,"Functionally graded, bone- and tendon-like polyurethane for rotator cuff repair",parsed,16,82024,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001094,10.1021/la502418s,"Methacrylation induces rapid, temperature-dependent, reversible self-assembly of type-i collagen",parsed,8,46319,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001112,10.1002/vjch.202200194,Influence of the black seed oil modified epoxy resin/biscycloaliphatic epoxide monomer weight ratio on thermal properties of photocrosslinked coatings,parsed,9,38086,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001140,10.1021/acsaenm.4c00275,Room temperature photocurable PEEK polymer formulations for high-performance 3D printing applications,parsed,10,45085,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001142,10.1021/acsami.5b03731,UV-curable nanocomposite based on methacrylic-siloxane resin and surface-modified TiO2 nanocrystals,parsed,12,63717,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001199,10.1021/acs.macromol.8b02486,Molecular origin of the induction period in photoinitiated cationic polymerization of epoxies and oxetanes,parsed,8,34793,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001218,10.1016/j.compositesb.2018.11.009,Stretchable and patchable composite electrode with trimethylolpropane formal acrylate-based polymer,parsed,8,35309,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001229,10.1007/s42114-025-01299-w,Engineering ceramics for biomedical applications through nanofiller integration and 3D printing,parsed,17,59716,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001233,10.1021/acsami.6b09144,Initiatorless photopolymerization of liquid crystal monomers,parsed,7,36304,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001265,10.1088/1758-5090/aa857c,GelMA-collagen blends enable drop-on-demand 3D printablility and promote angiogenesis,parsed,33,61455,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001287,10.1021/acsami.9b19431,High-resolution 3D printing of stretchable hydrogel structures using optical projection lithography,parsed,29,53649,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001298,10.1039/c4py01521e,Novel functionalization of porous polypropylene microfiltration membranes: via grafted poly(aminoethyl methacrylate) anchored Schiff bases toward membrane adsorbers for metal ions,parsed,10,42517,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001310,10.1039/c8py01652f,Sustainable near UV-curable acrylates based on natural phenolics for stereolithography 3D printing,parsed,12,53680,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001324,10.1016/j.jdent.2018.06.004,"Curing potential of experimental resin composites with systematically varying amount of bioactive glass: Degree of conversion, light transmittance and depth of cure",parsed,8,47267,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001369,10.1021/acssuschemeng.3c08191,Improving the performance of photoactive terpene-based resin formulations for light-based additive manufacturing,parsed,10,52893,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001377,10.1021/acsami.0c18979,Additive manufacture of dynamic thiol-ene networks incorporating anhydride-derived reversible thioester links,parsed,8,41155,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001379,10.1016/j.ijpharm.2018.04.056,Photocurable poly(ethylene glycol) as a bioink for the inkjet 3D pharming of hydrophobic drugs,parsed,28,52256,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001423,10.1021/bm060834v,Poly(propylene fumarate) bone tissue engineering scaffold fabrication using stereolithography: Effects of resin formulations and laser parameters,parsed,8,39761,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001445,10.1021/acs.biomac.3c01060,Pluronic F127-lipoic acid adhesive nanohydrogel combining with ce3+/tannic acid/ulinastatin nanoparticles for promoting wound healing,parsed,17,72380,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001453,10.1016/j.coco.2020.100401,Fabrication of continuous glass fiber-reinforced dual-cure epoxy composites via UV-assisted fused deposition modeling,parsed,17,30000,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001462,10.1016/j.porgcoat.2018.02.008,Cardanol modified fatty acids from camelina oils for flexible bio-based acrylates coatings,parsed,12,62389,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001468,10.1016/j.eurpolymj.2019.109295,Microfabrication of 3D-hydrogels via two-photon polymerization of poly(2-ethyl-2-oxazoline) diacrylates,parsed,36,61934,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001477,10.1021/acs.macromol.5b01683,Ferrocene and silicon-containing oxathiacrown macrocycles and linear oligo-oxathioethers obtained via thiol-ene chemistry of a redox-active bifunctional vinyldisiloxane,parsed,15,74038,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001500,10.1016/j.polymer.2021.123739,Dual-crosslinked silk fibroin hydrogels with elasticity and cytocompatibility for the regeneration of articular cartilage,parsed,11,52333,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001504,10.1021/acsabm.2c00939,4D printing of body temperature-responsive hydrogels based on poly(acrylic acid) with shape-memory and self-healing abilities,parsed,9,49491,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001510,10.1021/ma102884w,Synthesis of biobased polyols by thiol-ene coupling from vegetable oils,parsed,12,54083,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001547,10.1021/ma500244r,"A dual-cure, solid-state photoresist combining a thermoreversible diels-alder network and a chain growth acrylate network",parsed,10,52586,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001576,10.1016/j.dental.2020.11.004,Titanium dioxide nanotubes with triazine-methacrylate monomer to improve physicochemical and biological properties of adhesives,parsed,1,5511,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001588,10.1021/ma4025202,Thiol-ene chemistry of vinylferrocene: a simple and versatile access route to novel electroactive sulfur- and ferrocene-containing model compounds and polysiloxanes,parsed,15,93370,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001598,10.1016/j.dental.2021.04.010,"Methacrylate-functionalized proanthocyanidins as novel polymerizable collagen cross-linkers - Part 2: Effects on polymerization, microhardness and leaching of adhesives",parsed,9,41827,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001600,10.37188/lam.2024.048,X-photon 3D lithography by fs-oscillators: wavelength-independent and photoinitiator-free,parsed,13,66970,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001603,10.1016/j.porgcoat.2017.04.006,Synthesis of allyl acrylpimarate by microwave irradiation and phase -transfer catalytic reaction and its UV-curing reactions as a new monomer,parsed,13,49326,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001606,10.1021/acs.macromol.1c00761,Visible-light photoinitiation of (meth)acrylate polymerization with autonomous post-conversion,parsed,14,76721,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001609,10.1002/pc.20166,Curing of composite components by ultraviolet radiation: A review,parsed,10,56989,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001610,10.3389/fphys.2026.1743209,Visible-light-triggered BMP-2 release from enzymatically crosslinked marine collagen-alginate hydrogel blends enhances osteogenesis in dental pulp stem cells,parsed,20,106860,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001628,10.1021/ma402437q,Effect of oxygen inhibition on the kinetic constants of the UV-radical photopolymerization of diurethane dimethacrylate/photoinitiator systems,parsed,8,36120,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001641,10.1038/s41598-025-97120-1,One-step 3D printing of flexible poly(acrylamide-co-acrylic acid) hydrogels for enhanced mechanical and electrical performance in wearable strain sensors,parsed,14,52167,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001682,10.1021/bm300913q,"Photo-cross-linked poly(ethylene carbonate) elastomers: Synthesis, in vivo degradation, and determination of in vivo degradation mechanism",parsed,9,46087,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001705,10.1021/acs.macromol.5c02734,Light-induced copolymerization of ethyl lipoate and vinyl monomers: Increased efficiency and degradability,parsed,12,52910,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001741,10.1021/bm060766c,"Synthesis, characterization, and in vitro degradation of a biodegradable photo-cross-linked film from liquid poly(ε-caprolactone-co-lactide-co-glycolide) diacrylate",parsed,10,45132,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001744,10.1021/jacs.0c07136,Catalyst halogenation enables rapid and efficient polymerizations with visible to far-red light,parsed,11,56100,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001745,10.1021/ja037927u,"Photoinitiated polymerization of columnar stacks of self-assembled trialkyl-1,3,5-benzenetricarboxamide derivatives",parsed,6,29340,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001747,10.1021/ma402537r,UV light as external switch and boost of molar-mass control in iodine-mediated polymerization,parsed,10,45890,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001748,10.1021/la0493924,MMA/DVB emulsion surface graft polymerization initiated by UV light,parsed,7,32089,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001768,10.1016/j.dyepig.2020.108900,Allyloxy ketones as efficient photoinitiators with high migration stability in free radical polymerization and 3D printing,parsed,12,49549,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001840,10.1021/acsami.6b14599,Single-phase photo-cross-linkable bioinspired adhesive for precise control of adhesion strength,parsed,32,62592,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001846,10.1021/ma702419m,Thiol-functionalized poly(ω-pentadecalactone) telechelics for semicrystalline polymer networks,parsed,7,41938,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001856,10.1021/acsabm.5c00950,Tribo-mechanical and antibacterial performance of 3D printed hBN/PEGDA nanocomposites for load-bearing tissue engineering applications,parsed,16,67461,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001857,10.1021/acsami.6b08880,3D printing of cantilever-type microstructures by stereolithography of ferromagnetic photopolymers,parsed,34,79218,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001859,10.1002/adhm.201500156,A processable shape memory polymer system for biomedical applications,parsed,37,64193,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001870,10.1002/vjch.202100194,UV-curing of coatings based on black seed oil modified epoxy resin,parsed,7,26410,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001884,10.1016/j.eurpolymj.2020.109594,Toughness modification of cationic UV-cured cycloaliphatic epoxy resin by hydroxyl polymers with different structures,parsed,22,41972,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001896,10.1109/tnb.2012.2229468,Measurement of solubility and water sorption of dental nanocomposites light cured by argon laser,parsed,6,28750,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001905,10.1021/acs.jpcb.5b06791,Preparation of AgCl nanocubes and their application as efficient photoinitiators in the polymerization of n-isopropylacrylamide,parsed,7,32931,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001915,10.1186/s12896-023-00788-4,Preparation and characterization of propolis reinforced eggshell membrane/ GelMA composite hydrogel for biomedical applications,parsed,12,54296,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
ZPC-001924,10.1016/j.colsurfb.2020.110904,Customized hybrid and NIR-light triggered thermoresponsive drug delivery microparticles synthetized by photopolymerization in a one-step flow focusing continuous microreactor,parsed,47,73611,raw_text_only,Raw local PDF text; not promoted to scientific evidence without source-linked extraction.
