knowledge_id,source_id,source_doi,source_title,evidence_scope,evidence_summary,normalized_field,normalized_rule,scientific_rationale,computational_use,downstream_asset,evidence_level,status,provenance_path
DK0012,P0016,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,family/mechanism,Carbazole-rich donor motifs are useful watchlist motifs when paired with initiating motifs and extended conjugation.,carbazole,Evaluate carbazole under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0013,P0021,10.1021/cm500612w,cm500612w 1..10,family/mechanism,Coumarin-rich motifs without a clear initiating center should stay on watchlists rather than core keep lists.,coumarin,Evaluate coumarin under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0014,P0019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,family/mechanism,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,ketocoumarin,Evaluate ketocoumarin under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0015,P0011,10.1021/acs.macromol.5b00201,ma5b00201 1..10,family/mechanism,"Naphthalimide-like scaffolds are watchlist motifs: visible-light PI or photoinitiating-system evidence supports retention, whereas fluorophore-only naphthalimides remain boundary negatives and do not enter core by scaffold alone.",naphthalimide,Evaluate naphthalimide under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,close_analogue,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0016,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,family/mechanism,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,oxime_ester,Evaluate oxime_ester under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0017,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,family/mechanism,"Sulfonium motifs are classical cationic photoinitiator watchlist anchors, useful for boundary retention but not eligible for the donor-rich radical 2PI core by default.",sulfonium,Evaluate sulfonium under the stated evidence and claim limits.,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",domain criterion and candidate admissibility control,supporting_or_boundary,motif_level_support,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0018,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,family/mechanism,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,thioxanthone,Evaluate thioxanthone under the stated evidence and claim limits.,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0019,P0026,10.1039/c6ra27176f,Photoinitiators for two-photon polymerisation: effect of branching and viscosity on polymerisation thresholds,family/mechanism,Triphenylamine donor motifs remain watchlist motifs as donor boosters rather than standalone initiating motifs.,triphenylamine,Evaluate triphenylamine under the stated evidence and claim limits.,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",domain criterion and candidate admissibility control,round29_direct_lane,direct_precedent,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0020,P0021,10.1021/cm500612w,cm500612w 1..10,family/mechanism,Coumarin-like fluorophore-only entries without an initiating motif are excluded from organic resin mode coarse keep lists.,fluorophore_only,Evaluate fluorophore_only under the stated evidence and claim limits.,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",domain criterion and candidate admissibility control,supporting_or_boundary,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0021,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,Hazardous unstable fragments are excluded from organic resin mode coarse screening.,hazard,Evaluate hazard under the stated evidence and claim limits.,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",domain criterion and candidate admissibility control,supporting_or_boundary,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0022,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,Metal-containing entries and unsupported multi-component entries are excluded from the core organic resin mode coarse screen.,data_quality,Evaluate data_quality under the stated evidence and claim limits.,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",domain criterion and candidate admissibility control,supporting_or_boundary,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0023,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,An explicit conjugated bridge or fused conjugated platform is required for organic resin mode 2PI coarse keep candidates.,conjugation_proxy,Evaluate conjugation_proxy under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0024,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,At least one donor motif is required for organic resin mode 2PI coarse keep candidates.,donor_motif,Evaluate donor_motif under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0025,P0023,10.1021/ma301770a,ma301770a 1..10,family/mechanism,At least one acceptor or initiating motif is required for organic resin mode 2PI coarse keep candidates.,initiating_motif,Evaluate initiating_motif under the stated evidence and claim limits.,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",domain criterion and candidate admissibility control,round29_direct_lane,mechanistic_inference_only,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0026,P0031,10.1016/j.eurpolymj.2023.112597,,family/mechanism,The review states that aldehyde/ketone chromophores can be converted to oximes with hydroxylamine hydrochloride before OXE formation.,RXN_OXIME_FORMATION,Evaluate RXN_OXIME_FORMATION under the stated evidence and claim limits.,General OXE-route support; exact substrate scope still needs per-candidate route check.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0027,P0031,10.1016/j.eurpolymj.2023.112597,,family/mechanism,The source describes one-step esterification of the generated oxime using base and an acid chloride.,RXN_OXIME_ESTERIFICATION,Evaluate RXN_OXIME_ESTERIFICATION under the stated evidence and claim limits.,"Directly supports OXE formation, but acid chloride identity and regioisomerism need candidate-level control.",domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0028,P0032,10.1016/j.dyepig.2023.111202,,family/mechanism,"The paper links OXE photoexcitation to N-O cleavage and radical generation, matching the Type-I validation lane.",RXN_OXIME_ESTERIFICATION,Evaluate RXN_OXIME_ESTERIFICATION under the stated evidence and claim limits.,Mechanistic support; predicted candidates still require N-O BDE and excited-state checks.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0029,P0033,10.1016/j.eurpolymj.2023.111901,,family/mechanism,"Triphenylamine-based oxime ester access is described through arylamine formation by C-N coupling, followed by formylation, oximation and condensation.",RXN_BUCHWALD_HARTWIG_DONOR_INSTALL,Evaluate RXN_BUCHWALD_HARTWIG_DONOR_INSTALL under the stated evidence and claim limits.,Supports donor installation in OXE-like routes; catalyst/ligand scope must be checked for each aryl halide.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0030,P0034,10.1039/C3TC00623A,,family/mechanism,The quinoxalinoid chromophore synthesis uses Sonogashira chemistry to access a diarylacetylene precursor.,RXN_SONOGASHIRA_DONOR_ACCEPTOR,Evaluate RXN_SONOGASHIRA_DONOR_ACCEPTOR under the stated evidence and claim limits.,Strong support for ethynyl-extended chromophores; not automatically proof of PI activity.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0031,P0035,10.1002/cphc.201402646,,family/mechanism,"A two-photon polymerization photoinitiator library of expanded alpha,beta-unsaturated ketones was prepared using Sonogashira and condensation steps.",RXN_SONOGASHIRA_DONOR_ACCEPTOR,Evaluate RXN_SONOGASHIRA_DONOR_ACCEPTOR under the stated evidence and claim limits.,Supports ethynyl bridge construction in high-2PA PI-like chromophores; reaction conditions remain substrate-specific.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0032,P0035,10.1002/cphc.201402646,,family/mechanism,"The source describes aldehyde-cycloketone condensation to make donor-substituted alpha,beta-unsaturated ketone photoinitiator scaffolds.",RXN_KNOEVENAGEL_CYCLOKETONE,Evaluate RXN_KNOEVENAGEL_CYCLOKETONE under the stated evidence and claim limits.,The paper names aldol condensation rather than Knoevenagel; use as Knoevenagel/aldol-family support.,domain criterion and candidate admissibility control,round29_or_generation_route_support,B+,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0033,P0036,10.1039/B609309D,,family/mechanism,Carbazole donor hemicyanine 2PA chromophores were prepared by Knoevenagel condensation.,RXN_KNOEVENAGEL_CYCLOKETONE,Evaluate RXN_KNOEVENAGEL_CYCLOKETONE under the stated evidence and claim limits.,Supports donor-acceptor chromophore formation; PI initiating-center closure must be added separately.,domain criterion and candidate admissibility control,round29_or_generation_route_support,B,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0034,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,family/mechanism,"ITX photoinitiator derivatives were diversified by Suzuki coupling, supporting donor/aryl expansion of benchmark PI scaffolds.",RXN_SUZUKI_EXTENDED_ARYL,Evaluate RXN_SUZUKI_EXTENDED_ARYL under the stated evidence and claim limits.,Good route support for donor-tuned benchmark lanes; still requires 2PA and initiation mechanism checks.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0035,P0037,10.1039/C8ME00101D,,family/mechanism,The paper explicitly assembles potential donor-acceptor-donor two-photon photoinitiators by Suzuki cross-coupling.,RXN_SUZUKI_EXTENDED_ARYL,Evaluate RXN_SUZUKI_EXTENDED_ARYL under the stated evidence and claim limits.,Strongest support for Suzuki-based D-A-D PI enumeration; generated products still need strict PI role closure.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0036,P0034,10.1039/C3TC00623A,,family/mechanism,The quinoxalinoid chromophore route installs amine donors through sequential Buchwald-Hartwig amination steps.,RXN_BUCHWALD_HARTWIG_DONOR_INSTALL,Evaluate RXN_BUCHWALD_HARTWIG_DONOR_INSTALL under the stated evidence and claim limits.,Supports donor installation in complex chromophores; PI initiating center is not inherent in this source.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0037,P0038,10.1002/ejoc.201300345,,family/mechanism,"The quinoxaline 2PA chromophore synthesis uses Heck coupling for key intermediates and target chromophores, supporting styryl-extension templates.",RXN_HECK_STYRYL_TRIAZINE,Evaluate RXN_HECK_STYRYL_TRIAZINE under the stated evidence and claim limits.,Direct for high-2PA chromophore construction; PI function must come from the chosen initiating center.,domain criterion and candidate admissibility control,round29_or_generation_route_support,B+,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0038,P0039,10.1021/jp050368o,,family/mechanism,"The paper assigns triphenylamine as donor, triazine as acceptor and styryl as chromophore in D-pi-A triazine systems.",RXN_TRIAZINE_DONOR_SUBSTITUTION,Evaluate RXN_TRIAZINE_DONOR_SUBSTITUTION under the stated evidence and claim limits.,"Supports the triazine D-pi-A design motif, not a direct nucleophilic triazine substitution protocol in this local PDF.",domain criterion and candidate admissibility control,round29_or_generation_route_support,B,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0039,P0040,10.1038/s41467-021-23170-4,,family/mechanism,"The source uses a trichloromethyl-triazine sensitizer/initiator system, supporting triazine as a productive PI motif under the right chemistry.",RXN_TRIAZINE_DONOR_SUBSTITUTION,Evaluate RXN_TRIAZINE_DONOR_SUBSTITUTION under the stated evidence and claim limits.,"This is mechanism/motif support, not direct support for donor substitution enumeration.",domain criterion and candidate admissibility control,round29_or_generation_route_support,B,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0040,P0041,10.4012/dmj.2009-137,,family/mechanism,The paper describes acylphosphine oxide synthesis from an acid chloride and phosphine reagent through Michaelis-Arbuzov chemistry.,RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION,Evaluate RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION under the stated evidence and claim limits.,"Route support is strong, but APO candidates remain benchmark/watchlist unless donor-rich 2PA role closure is achieved.",domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0041,P0042,10.1016/j.eurpolymj.2023.111883,,family/mechanism,"The review identifies TPO and BAPO as widely used Type-I photoinitiators, supporting an APO benchmark lane.",RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION,Evaluate RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION under the stated evidence and claim limits.,Benchmark support only; APO derivatives should not compete directly with OXE mainline without 2PA closure.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0042,P0043,10.1039/B900464E,,family/mechanism,"The source constructs quinoxaline-related carbonyl intermediates by Friedel-Crafts acylation, supporting aryl-acylation logic.",RXN_ACYLATION_BENZOPHENONE,Evaluate RXN_ACYLATION_BENZOPHENONE under the stated evidence and claim limits.,"Analogous carbonyl-building support, not a universal benzophenone acylation recipe.",domain criterion and candidate admissibility control,round29_or_generation_route_support,B,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0043,P0044,10.1016/j.eurpolymj.2024.112794,,family/mechanism,The review anchors benzophenone and thioxanthone carbonyls as Type-II PI centers with hydrogen-abstraction logic.,RXN_ACYLATION_BENZOPHENONE,Evaluate RXN_ACYLATION_BENZOPHENONE under the stated evidence and claim limits.,Mechanism support; coinitiator dependence and intramolecular H-donor availability must be tracked.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
DK0044,P0045,10.1021/acsapm.8b00165,,family/mechanism,The review supports the Type-II lane by linking benzophenone/thioxanthone-like systems to H-abstraction or ET with coinitiators.,RXN_ACYLATION_BENZOPHENONE,Evaluate RXN_ACYLATION_BENZOPHENONE under the stated evidence and claim limits.,Mechanistic support is coinitiator-aware; single-component PI claims need extra validation.,domain criterion and candidate admissibility control,round29_or_generation_route_support,A,traceable_rule_import,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
