mechanism_rule_id,source_id,source_doi,source_title,mechanism_lane,family_scope,evidence_summary,normalized_field,normalized_rule,routing_rule,exclusion_rule,computational_use,downstream_asset,evidence_level,status,provenance_path
MR0011,P0007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,Type-II_or_optical_boundary,benzylidene_cycloketone,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,mechanism_lane;family_scope;coinitiator_context,Route benzylidene_cycloketone to Type-II_or_optical_boundary subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0012,P0016,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,Type-I,carbazole,Carbazole-rich donor motifs are useful watchlist motifs when paired with initiating motifs and extended conjugation.,mechanism_lane;family_scope;coinitiator_context,Route carbazole to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0013,P0021,10.1021/cm500612w,cm500612w 1..10,Type-I,coumarin,Coumarin-rich motifs without a clear initiating center should stay on watchlists rather than core keep lists.,mechanism_lane;family_scope;coinitiator_context,Route coumarin to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0014,P0019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,Type-II,ketocoumarin,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,mechanism_lane;family_scope;coinitiator_context,Route ketocoumarin to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0015,P0011,10.1021/acs.macromol.5b00201,ma5b00201 1..10,Type-II_or_optical_boundary,naphthalimide,"Naphthalimide-like scaffolds are watchlist motifs: visible-light PI or photoinitiating-system evidence supports retention, whereas fluorophore-only naphthalimides remain boundary negatives and do not enter core by scaffold alone.",mechanism_lane;family_scope;coinitiator_context,Route naphthalimide to Type-II_or_optical_boundary subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,close_analogue,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0016,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,Type-I,oxime_ester,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,mechanism_lane;family_scope;coinitiator_context,Route oxime_ester to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0017,P0029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,boundary_excluded,sulfonium,"Sulfonium motifs are classical cationic photoinitiator watchlist anchors, useful for boundary retention but not eligible for the donor-rich radical 2PI core by default.",mechanism_lane;family_scope;coinitiator_context,Route sulfonium to boundary_excluded subject to the recorded claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,motif_level_support,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0018,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,Type-II,thioxanthone,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,mechanism_lane;family_scope;coinitiator_context,Route thioxanthone to Type-II subject to the recorded claim limit.,round29_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0019,P0026,10.1039/c6ra27176f,Photoinitiators for two-photon polymerisation: effect of branching and viscosity on polymerisation thresholds,SET/PET_or_optical,triphenylamine,Triphenylamine donor motifs remain watchlist motifs as donor boosters rather than standalone initiating motifs.,mechanism_lane;family_scope;coinitiator_context,Route triphenylamine to SET/PET_or_optical subject to the recorded claim limit.,round29_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,direct_precedent,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0020,P0021,10.1021/cm500612w,cm500612w 1..10,boundary_excluded,fluorophore_only,Coumarin-like fluorophore-only entries without an initiating motif are excluded from organic resin mode coarse keep lists.,mechanism_lane;family_scope;coinitiator_context,Route fluorophore_only to boundary_excluded subject to the recorded claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0021,P0023,10.1021/ma301770a,ma301770a 1..10,boundary_excluded,hazard,Hazardous unstable fragments are excluded from organic resin mode coarse screening.,mechanism_lane;family_scope;coinitiator_context,Route hazard to boundary_excluded subject to the recorded claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0022,P0023,10.1021/ma301770a,ma301770a 1..10,boundary_excluded,data_quality,Metal-containing entries and unsupported multi-component entries are excluded from the core organic resin mode coarse screen.,mechanism_lane;family_scope;coinitiator_context,Route data_quality to boundary_excluded subject to the recorded claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0023,P0023,10.1021/ma301770a,ma301770a 1..10,Type-I,conjugation_proxy,An explicit conjugated bridge or fused conjugated platform is required for organic resin mode 2PI coarse keep candidates.,mechanism_lane;family_scope;coinitiator_context,Route conjugation_proxy to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0024,P0023,10.1021/ma301770a,ma301770a 1..10,Type-I,donor_motif,At least one donor motif is required for organic resin mode 2PI coarse keep candidates.,mechanism_lane;family_scope;coinitiator_context,Route donor_motif to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0025,P0023,10.1021/ma301770a,ma301770a 1..10,Type-I,initiating_motif,At least one acceptor or initiating motif is required for organic resin mode 2PI coarse keep candidates.,mechanism_lane;family_scope;coinitiator_context,Route initiating_motif to Type-I subject to the recorded claim limit.,round29_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,mechanistic_inference_only,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0026,P0031,10.1016/j.eurpolymj.2023.112597,,Type-I,RXN_OXIME_FORMATION,The review states that aldehyde/ketone chromophores can be converted to oximes with hydroxylamine hydrochloride before OXE formation.,mechanism_lane;family_scope;coinitiator_context,Route RXN_OXIME_FORMATION to Type-I subject to the recorded claim limit.,round29_or_generation_route_support,General OXE-route support; exact substrate scope still needs per-candidate route check.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0027,P0031,10.1016/j.eurpolymj.2023.112597,,Type-I,RXN_OXIME_ESTERIFICATION,The source describes one-step esterification of the generated oxime using base and an acid chloride.,mechanism_lane;family_scope;coinitiator_context,Route RXN_OXIME_ESTERIFICATION to Type-I subject to the recorded claim limit.,round29_or_generation_route_support,"Directly supports OXE formation, but acid chloride identity and regioisomerism need candidate-level control.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0028,P0032,10.1016/j.dyepig.2023.111202,,Type-I,RXN_OXIME_ESTERIFICATION,"The paper links OXE photoexcitation to N-O cleavage and radical generation, matching the Type-I validation lane.",mechanism_lane;family_scope;coinitiator_context,Route RXN_OXIME_ESTERIFICATION to Type-I subject to the recorded claim limit.,round29_or_generation_route_support,Mechanistic support; predicted candidates still require N-O BDE and excited-state checks.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0029,P0033,10.1016/j.eurpolymj.2023.111901,,Type-I,RXN_BUCHWALD_HARTWIG_DONOR_INSTALL,"Triphenylamine-based oxime ester access is described through arylamine formation by C-N coupling, followed by formylation, oximation and condensation.",mechanism_lane;family_scope;coinitiator_context,Route RXN_BUCHWALD_HARTWIG_DONOR_INSTALL to Type-I subject to the recorded claim limit.,round29_or_generation_route_support,Supports donor installation in OXE-like routes; catalyst/ligand scope must be checked for each aryl halide.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0030,P0034,10.1039/C3TC00623A,,Type-I; SET/PET_or_optical,RXN_SONOGASHIRA_DONOR_ACCEPTOR,The quinoxalinoid chromophore synthesis uses Sonogashira chemistry to access a diarylacetylene precursor.,mechanism_lane;family_scope;coinitiator_context,Route RXN_SONOGASHIRA_DONOR_ACCEPTOR to Type-I; SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Strong support for ethynyl-extended chromophores; not automatically proof of PI activity.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0031,P0035,10.1002/cphc.201402646,,SET/PET_or_optical,RXN_SONOGASHIRA_DONOR_ACCEPTOR,"A two-photon polymerization photoinitiator library of expanded alpha,beta-unsaturated ketones was prepared using Sonogashira and condensation steps.",mechanism_lane;family_scope;coinitiator_context,Route RXN_SONOGASHIRA_DONOR_ACCEPTOR to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Supports ethynyl bridge construction in high-2PA PI-like chromophores; reaction conditions remain substrate-specific.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0032,P0035,10.1002/cphc.201402646,,SET/PET_or_optical,RXN_KNOEVENAGEL_CYCLOKETONE,"The source describes aldehyde-cycloketone condensation to make donor-substituted alpha,beta-unsaturated ketone photoinitiator scaffolds.",mechanism_lane;family_scope;coinitiator_context,Route RXN_KNOEVENAGEL_CYCLOKETONE to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,The paper names aldol condensation rather than Knoevenagel; use as Knoevenagel/aldol-family support.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,B+,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0033,P0036,10.1039/B609309D,,SET/PET_or_optical,RXN_KNOEVENAGEL_CYCLOKETONE,Carbazole donor hemicyanine 2PA chromophores were prepared by Knoevenagel condensation.,mechanism_lane;family_scope;coinitiator_context,Route RXN_KNOEVENAGEL_CYCLOKETONE to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Supports donor-acceptor chromophore formation; PI initiating-center closure must be added separately.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,B,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0034,P0018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution | manual curated exact structure derived from systematic name in paper text and cross-checked against Figure 1 of doi_10_1021_acsapm_0c01291,Type-II_or_donor_tuned,RXN_SUZUKI_EXTENDED_ARYL,"ITX photoinitiator derivatives were diversified by Suzuki coupling, supporting donor/aryl expansion of benchmark PI scaffolds.",mechanism_lane;family_scope;coinitiator_context,Route RXN_SUZUKI_EXTENDED_ARYL to Type-II_or_donor_tuned subject to the recorded claim limit.,round29_or_generation_route_support,Good route support for donor-tuned benchmark lanes; still requires 2PA and initiation mechanism checks.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0035,P0037,10.1039/C8ME00101D,,SET/PET_or_optical,RXN_SUZUKI_EXTENDED_ARYL,The paper explicitly assembles potential donor-acceptor-donor two-photon photoinitiators by Suzuki cross-coupling.,mechanism_lane;family_scope;coinitiator_context,Route RXN_SUZUKI_EXTENDED_ARYL to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Strongest support for Suzuki-based D-A-D PI enumeration; generated products still need strict PI role closure.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0036,P0034,10.1039/C3TC00623A,,Type-II_or_donor_tuned; SET/PET_or_optical,RXN_BUCHWALD_HARTWIG_DONOR_INSTALL,The quinoxalinoid chromophore route installs amine donors through sequential Buchwald-Hartwig amination steps.,mechanism_lane;family_scope;coinitiator_context,Route RXN_BUCHWALD_HARTWIG_DONOR_INSTALL to Type-II_or_donor_tuned; SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Supports donor installation in complex chromophores; PI initiating center is not inherent in this source.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0037,P0038,10.1002/ejoc.201300345,,SET/PET_or_optical,RXN_HECK_STYRYL_TRIAZINE,"The quinoxaline 2PA chromophore synthesis uses Heck coupling for key intermediates and target chromophores, supporting styryl-extension templates.",mechanism_lane;family_scope;coinitiator_context,Route RXN_HECK_STYRYL_TRIAZINE to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,Direct for high-2PA chromophore construction; PI function must come from the chosen initiating center.,candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,B+,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0038,P0039,10.1021/jp050368o,,SET/PET_or_optical,RXN_TRIAZINE_DONOR_SUBSTITUTION,"The paper assigns triphenylamine as donor, triazine as acceptor and styryl as chromophore in D-pi-A triazine systems.",mechanism_lane;family_scope;coinitiator_context,Route RXN_TRIAZINE_DONOR_SUBSTITUTION to SET/PET_or_optical subject to the recorded claim limit.,round29_or_generation_route_support,"Supports the triazine D-pi-A design motif, not a direct nucleophilic triazine substitution protocol in this local PDF.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,B,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0039,P0040,10.1038/s41467-021-23170-4,,SET/PET_or_optical; boundary_review,RXN_TRIAZINE_DONOR_SUBSTITUTION,"The source uses a trichloromethyl-triazine sensitizer/initiator system, supporting triazine as a productive PI motif under the right chemistry.",mechanism_lane;family_scope;coinitiator_context,Route RXN_TRIAZINE_DONOR_SUBSTITUTION to SET/PET_or_optical; boundary_review subject to the recorded claim limit.,round29_or_generation_route_support,"This is mechanism/motif support, not direct support for donor substitution enumeration.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,B,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
MR0040,P0041,10.4012/dmj.2009-137,,Type-I,RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION,The paper describes acylphosphine oxide synthesis from an acid chloride and phosphine reagent through Michaelis-Arbuzov chemistry.,mechanism_lane;family_scope;coinitiator_context,Route RXN_ACYLPHOSPHINE_OXIDE_MODIFICATION to Type-I subject to the recorded claim limit.,round29_or_generation_route_support,"Route support is strong, but APO candidates remain benchmark/watchlist unless donor-rich 2PA role closure is achieved.",candidate routing and lane-specific validation-question assignment,candidate portfolio; mechanism-matched QM route,A,traceable_routing_rule,outputs/literature_evidence_formalization_20260629/lane_rule_evidence_table.csv
