mechanism_rule_id,source_id,source_doi,source_title,mechanism_lane,family_scope,evidence_summary,normalized_rule,routing_rule,exclusion_or_claim_limit,coinitiator_context,computational_use,downstream_use,evidence_level,status
MR011,SRC007,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,Type-II_or_optical_boundary,benzylidene_cycloketone,Benzylidene cycloketone scaffolds with strong push-pull D-pi-A-pi-D design remain priority motifs when 2PA-compatible conjugation and processability support are present.,Route benzylidene_cycloketone to Type-II_or_optical_boundary subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR012,SRC016,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,Type-I,carbazole,Carbazole-rich donor motifs are useful watchlist motifs when paired with initiating motifs and extended conjugation.,Route carbazole to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR013,SRC021,10.1021/cm500612w,"π-Expanded Ketocoumarins as Efficient, Biocompatible Initiators for Two-Photon-Induced Polymerization",Type-I,coumarin,Coumarin-rich motifs without a clear initiating center should stay on watchlists rather than core keep lists.,Route coumarin to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR014,SRC019,10.1021/acsapm.3c00141,Ketocoumarin-Based Photoinitiators for High-Sensitivity Two-Photon Lithography,Type-II,ketocoumarin,Ketocoumarin-like fused donor-acceptor motifs remain priority motifs for high-sensitivity two-photon lithography candidates.,Route ketocoumarin to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR015,SRC011,10.1021/acs.macromol.5b00201,"Structure Design of Naphthalimide Derivatives: Toward Versatile Photoinitiators for Near-UV/Visible LEDs, 3D Printing, and Water-Soluble Photoinitiating Systems",Type-II_or_optical_boundary,naphthalimide,"Naphthalimide-like scaffolds are watchlist motifs: visible-light PI or photoinitiating-system evidence supports retention, whereas fluorophore-only naphthalimides remain boundary negatives and do not enter core by scaffold alone.",Route naphthalimide to Type-II_or_optical_boundary subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,close_analogue,traceable_decision_rule
MR016,SRC029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,Type-I,oxime_ester,Oxime ester initiating motifs remain priority motifs because cleavage-centered Type I initiation is repeatedly used in photoinitiator design.,Route oxime_ester to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR017,SRC029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,boundary_excluded,sulfonium,"Sulfonium motifs are classical cationic photoinitiator watchlist anchors, useful for boundary retention but not eligible for the donor-rich radical 2PI core by default.",Route sulfonium to boundary_excluded subject to the recorded context and claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",not applicable,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,motif_level_support,traceable_decision_rule
MR018,SRC018,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,Type-II,thioxanthone,Thioxanthone-like chromophores with extended conjugation remain priority motifs when donor substitution and 2PA matching are present.,Route thioxanthone to Type-II subject to the recorded context and claim limit.,final slate_direct_lane,"Supports a Type-II or carbonyl-centered lane but does not by itself justify a single-component lead claim; coinitiator, H-donor, resin, or intramolecular donor context must be explicit.",amine/H-donor/resin context required unless source says otherwise,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR019,SRC026,10.1039/c6ra27176f,Photoinitiators for two-photon polymerisation: effect of branching and viscosity on polymerisation thresholds,SET/PET_or_optical,triphenylamine,Triphenylamine donor motifs remain watchlist motifs as donor boosters rather than standalone initiating motifs.,Route triphenylamine to SET/PET_or_optical subject to the recorded context and claim limit.,final slate_direct_lane,"Supports an exploratory donor-acceptor/optical lane only; high 2PA or ICT is insufficient without pair-specific ET, quenching, electrochemical, transient, or polymerization evidence.",explicit donor-acceptor pair or coinitiator required for ET claims,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,direct_precedent,traceable_decision_rule
MR020,SRC021,10.1021/cm500612w,"π-Expanded Ketocoumarins as Efficient, Biocompatible Initiators for Two-Photon-Induced Polymerization",boundary_excluded,fluorophore_only,Coumarin-like fluorophore-only entries without an initiating motif are excluded from organic resin mode coarse keep lists.,Route fluorophore_only to boundary_excluded subject to the recorded context and claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",not applicable,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
MR021,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,boundary_excluded,hazard,Hazardous unstable fragments are excluded from organic resin mode coarse screening.,Route hazard to boundary_excluded subject to the recorded context and claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",not applicable,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
MR022,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,boundary_excluded,data_quality,Metal-containing entries and unsupported multi-component entries are excluded from the core organic resin mode coarse screen.,Route data_quality to boundary_excluded subject to the recorded context and claim limit.,supporting_or_boundary,"Use as exclusion or down-rank evidence for the radical 2PI headline; optical response, salt/cationic behavior, or hazard flags do not establish productive radical initiation.",not applicable,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
MR023,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,Type-I,conjugation_proxy,An explicit conjugated bridge or fused conjugated platform is required for organic resin mode 2PI coarse keep candidates.,Route conjugation_proxy to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
MR024,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,Type-I,donor_motif,At least one donor motif is required for organic resin mode 2PI coarse keep candidates.,Route donor_motif to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
MR025,SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,Type-I,initiating_motif,At least one acceptor or initiating motif is required for organic resin mode 2PI coarse keep candidates.,Route initiating_motif to Type-I subject to the recorded context and claim limit.,final slate_direct_lane,"Admits candidates to the Type-I screening lane only; upgrading requires candidate-specific excited-state, cleavable-bond, radical-stability, and preferably QM/pathway support.",none implied only for intact Type-I cleavage cores,candidate routing and lane-specific validation-question assignment,Type-I cleavage; Type-II coinitiator; or SET/PET redox assessment,mechanistic_inference_only,traceable_decision_rule
