anchor_id,paper_id,zotero_key,doi,title,value_type,page_hint,evidence_anchor,raw_value,raw_unit,confidence_class,audit_status,origin_digitizer_needed,source_text_path
zotero_2SCTZD9L:sigma2:2,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,sigma2,2,"one +86 010-82543569 Abstract A series of water-soluble benzylidene cyclanone dye s T1 -T3 were synthesized. Their photo-physical properties were i nvestigated using UV-Vis spectra, fluorescence spectra and two-photon absorption spectra. The maximum two-photon absorption cross-sections ( σ 2) of T1 -T3 in deionized wat",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:sigma2:3,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,sigma2,2,"-82543569 Abstract A series of water-soluble benzylidene cyclanone dye s T1 -T3 were synthesized. Their photo-physical properties were i nvestigated using UV-Vis spectra, fluorescence spectra and two-photon absorption spectra. The maximum two-photon absorption cross-sections ( σ 2) of T1 -T3 in deionized water were det",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:sigma2:4,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,sigma2,2,"ere synthesized. Their photo-physical properties were i nvestigated using UV-Vis spectra, fluorescence spectra and two-photon absorption spectra. The maximum two-photon absorption cross-sections ( σ 2) of T1 -T3 in deionized water were determined as 567 GM, 808 GM a nd 231 GM. Using T1 -T3 as photoinitiators (PIs) dire",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:threshold:15,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,threshold,16,"ontrasts. Using line scanning method, the 2PP threshold energy ( Eth ) and the laser-induced breakdown threshold energy ( Ebr ) of these resins under illumination of an 820 nm fs las er could be observed by CCD on live. Here, Eth is defined as the lowest laser power at focus point that can fabricate a solid line and Eb",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:threshold:16,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,threshold,16,"were made up using different formula with SR610, BSA and HAGM as monomers, T1 -T3 as initiators, respectively, to investigate their potentials in 2PP. Blank monomers and monomer s plus Eosin were both used as contrasts. Using line scanning method, the 2PP threshold energy ( Eth ) and the laser-induced breakdown thresho",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:threshold:5,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,threshold,2,") directly, 2D and 3D nano patterns based on two-photon crosslinking or polymerization of bovine serum albumin (BSA), water-soluble acrylic ester monomer (SR610) and hyaluronic acid derivative (HAGM) were successfully fabricated, respectively. Much lower threshold energies and wid er fabrication windows were obtained i",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:threshold:8,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,threshold,5,"and long expos ure time (300 ∼400 µs) were required in their experiments. By using a w ater-soluble PI (WSPI) with a σ2 of 120 GM, Liska et al. successfully fabricated 3D scaffolds from PEGDA (PEG diacrylates) with a fast scanning speed of 10 mm/s under laser power of 140 mW. [17] Irgacure 2959 , a commercially availab",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:voxel_geometry:18,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,voxel_geometry,20,"eering in Life Sciences 2009, 9 (5), 384-390. [3] Drury, J. L.; Mooney, D. J., Hydrogels for tissue engineering: scaffold design variables and applications. Biomaterials 2003, 24 (24), 4337-4351. [4] Seidlits, S. K.; Schmidt, C. E.; Shear, J. B., High-Resolution Patterning of Hydrogels in Three Dimensions using D irect",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_2SCTZD9L:voxel_geometry:19,zotero_2SCTZD9L,2SCTZD9L,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,voxel_geometry,21,"Recent advances in the use o f gelatin in biomedical research. Biotechnology letters 2015, 37 (11), 2139-2145. [12] Kawata, S.; Sun, H. B.; Tanaka, T.; Takada, K ., Finer features for functional microdevices- Micromachines can be creat ed with higher resolution using two-photon absorption. Nature 2001, 412 (6848), 697-",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:mechanism:7,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,mechanism,2,"report on a study of the 2PA properties of sev- eral common, commercially available photoinitiators using two complementary non-linear transmission spectroscopic methods. Many of these initiators undergo the Norrish type I /H9251-cleavage reaction involved in radical generation, and include /H9251-hydroxyketones, /H925",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:pi_loading:6,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,pi_loading,2,"vides a strong pump beam which induces a non-linear response in the system under investigation and the other OPA generates a weak, broad-band WLC beam which probes the induced non-linearity. The WLC is generated by focusing 1–2 /H9262Jo f 1300 nm light into a 2 mm thick piece of calcium ﬂuoride. The 2PA process require",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:pi_loading:9,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,pi_loading,5,"l. / Journal of Photochemistry and Photobiology A: Chemistry 162 (2004) 497–502 501 Fig. 4. 2PA results via the Z-scan method for stationary cell and ﬂow cell geometries. (A) Irgacure OXE01. (B) Irgacure 369. Note: The two curves in (B) have been displaced by 5 mm purely for ease of viewing. to be good, with the larges",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:sigma2:1,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,sigma2,1,"Journal of Photochemistry and Photobiology A: Chemistry 162 (2004) 497–502 Two-photon absorption cross-sections of common photoinitiators Katherine J. Schafer a, Joel M. Hales b, Mihaela Balu b, Kevin D. Belﬁelda,b,∗, Eric W. Van Strylandb, David J. Haganb a Department of Chemistry, University of Central Florida 4000 C",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:sigma2:2,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,sigma2,1,"Journal of Photochemistry and Photobiology A: Chemistry 162 (2004) 497–502 Two-photon absorption cross-sections of common photoinitiators Katherine J. Schafer a, Joel M. Hales b, Mihaela Balu b, Kevin D. Belﬁelda,b,∗, Eric W. Van Strylandb, David J. Haganb a Department of Chemistry, University of Central Florida 4000 C",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:sigma2:3,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,sigma2,1,"to perform three-dimensionally resolved polymerization, resulting in intricate microfabrication and imaging. Many of the reported 2PA-induced polymerizations make use of commercially available photoinitiators, and a key parameter to consider is the two-photon absorption cross-section ( δ) of the initiator. To date, the",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:sigma2:4,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,sigma2,1,"address: kbelﬁel@mail.ucf.edu (K.D. Belﬁeld). wavelength range where femtosecond-lasers are typically used for 2PA-induced polymerization. Previously reported δ values for a limited number of conventional photoini- tiators are on the order of or less than 10 Göppert Mayer (GM) units, where 1 GM = 10 −50 cm4 s per photo",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:threshold:5,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,threshold,1,"at a photoinitiator possessing high δ may allow the use of low-cost micro-lasers, of the same polymerization speed as that obtained with conventional femtosecond-lasers and commercial UV resins [14]. Efforts to produce novel photoinitiators with improved photosensitivity to near-IR radiation for 2PA polymeriza- tion ar",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3TYUTA6K:threshold:8,zotero_3TYUTA6K,3TYUTA6K,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,threshold,4,"s sensitive than the Z-scan method. In the case of the Z-scan technique, just four of the compounds were not measurable, but seven had cross-sections too small to be measured by the WLC method. For the cases where the non-linear signal is below the measurable threshold, we have indicated an upper limit to the possible ",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:isc_t1:8,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,isc_t1,4,"ncentration within the photoresist is constant. Within the laser focus, photoinitiator molecules are excited by two -photon absorption from the singlet ground-state manifold into the singlet excited -state manifold. From there, they typically undergo rapid intersystem crossing into the molecule’s triplet manifold. Next",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:isc_t1:9,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,isc_t1,4,"stant. Within the laser focus, photoinitiator molecules are excited by two -photon absorption from the singlet ground-state manifold into the singlet excited -state manifold. From there, they typically undergo rapid intersystem crossing into the molecule’s triplet manifold. Next, radicals are generated. These can eithe",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:mechanism:15,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,mechanism,14,"of a voxel (the Schwarzschild effect). Wi th diffusion, photoinitiator molecules can diffuse in from the periphery of the laser focus. While they are again effectively depleted via oxygen quenching in the center of the focus, the in-diffusion leads to weak radical generation in the periphery of th e laser focus ( 𝑟 > 0",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:pi_loading:1,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,pi_loading,2,"tions. For short exposure times (“regime I”), the laser power at the polymerization threshold can scale with the inverse square root of the exposure time, as naively to be expected for two -photon absorption. Substantial deviations occur, however, for low photoinitiator concentrations. For intermediate exposure times (",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:pi_loading:10,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,pi_loading,6,"on. In the double-logarithmic representation in Figure 2, this dependence corresponds to a straight line with slope −1/𝑁. An exponent with 𝑁 = 2 fits the depicted experimental data quite well. We will see below, however, that 𝑁 effectively increases as the photoinitiator concentration decreases and that it can also dev",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:pi_loading:11,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,pi_loading,6,"In the double-logarithmic representation in Figure 2, this dependence corresponds to a straight line with slope −1/𝑁. An exponent with 𝑁 = 2 fits the depicted experimental data quite well. We will see below, however, that 𝑁 effectively increases as the photoinitiator concentration decreases and that it can also deviate",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:pi_loading:2,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,pi_loading,2,". For short exposure times (“regime I”), the laser power at the polymerization threshold can scale with the inverse square root of the exposure time, as naively to be expected for two -photon absorption. Substantial deviations occur, however, for low photoinitiator concentrations. For intermediate exposure times (“regi",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:sigma2:13,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,sigma2,10,"9 pulses, 1/(80 MHz) ≈ 12 ns, is much smaller than all other characteristic time scales of the problem. Therefore, the two-photon absorption coefficient, 𝛼2, we use below must be seen as an effective quantity. During exposure, the laser power, 𝑃, is given by 𝑃 = ∫ 𝐼0 2𝜋𝑟 d𝑟 ∞ 0 = 𝐼0 2𝜋 𝜎2. We use 𝜎 = 150 nm in the Gaus",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:sigma2:16,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,sigma2,15,"nt photoinitiators, and different photoinitiator concentrations – including commonly used combinations. For very short exposure times (regime I) and low photoinitiator concentrations, we have found pronounced deviations from the simple scaling expected for two-photon absorption. For very large exposure times (regime II",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:threshold:3,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,threshold,2,"(3D) laser lithography is revisited. The study ranges over seven orders of magnitude in exposure time (from 1 µs to 10 s) and investigate s a wide variety of different photoresist compositions. For short exposure times (“regime I”), the laser power at the polymerization threshold can scale with the inverse square root ",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:threshold:4,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,threshold,2,"three -dimensional (3D) laser lithography is revisited. The study ranges over seven orders of magnitude in exposure time (from 1 µs to 10 s) and investigate s a wide variety of different photoresist compositions. For short exposure times (“regime I”), the laser power at the polymerization threshold can scale with the i",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:threshold:5,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,threshold,2,"thography is revisited. The study ranges over seven orders of magnitude in exposure time (from 1 µs to 10 s) and investigate s a wide variety of different photoresist compositions. For short exposure times (“regime I”), the laser power at the polymerization threshold can scale with the inverse square root of the exposu",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:threshold:6,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,threshold,3,"ture remains after the process.[4] Naively, the product of the square of the local laser intensi ty and the exposure time determines the local degree of photo -induced crosslinking. In disagreement with this expectation, for laser intensities and hence the laser powers below a certain threshold, the monomer is insuffic",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:voxel_geometry:12,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,voxel_geometry,9,"photoinitiator molecules are much larger than the oxygen molecules. For simplicity and for clarity of the argument, we neglect the diffusion of radicals, monomer, and polymer, although diffusion of radical molecules may well influence the minimum achievable voxel size. [16] To avoid excessive computation times, we cons",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:voxel_geometry:14,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,voxel_geometry,14,"13 process would inhibit formation of a voxel (the Schwarzschild effect). Wi th diffusion, photoinitiator molecules can diffuse in from the periphery of the laser focus. While they are again effectively depleted via oxygen quenching in the center of the focus, the in-diffusion leads to weak radical generation in the pe",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:voxel_geometry:17,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,voxel_geometry,20,"19 Figure 1. Three examples of electron micrographs of polymer voxels exposed by a train of tightly focused femtosecond laser pulses with average power 𝑃 in units of mW and for an exposure time of Δ𝑡 in units of ms. As we will cover a range of exposure times of seven orders of magnitude, we chose them to be equidistant",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_3UHK5MQX:voxel_geometry:7,zotero_3UHK5MQX,3UHK5MQX,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,voxel_geometry,3,"sional (3D) optical laser lithography (or laser nanoprinting).[2] Here, a high-numerical-aperture immersion- microscope lens tightly focuses a mode-locked laser beam, such that the light intensity exceeds a certain value only in a small volume element (the “voxel”).[3] Within this voxel, the monomer molecules crosslink",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:isc_t1:13,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,isc_t1,5,"In preparation of two ways, both of which involve excitation of the dye to the T1 state (Scheme 1 ). The excited dye can either abstract hydrogen directly from a protein molecule to induce protein crosslinking, or transfer energy to the ground state triplet molecular oxygen, producing singlet molecular oxygen. [ 75 ] I",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:isc_t1:14,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,isc_t1,5,"Yes 10 [ 67 ] Flavin adenine dinucleotide (FAD) Yes Yes 0.035 [ 68 ] Methylene blue Yes Yes Not known WSPI Yes No 120 [ 69 ] G2CK Yes No 136 In preparation of two ways, both of which involve excitation of the dye to the T1 state (Scheme 1 ). The excited dye can either abstract hydrogen directly from a protein molecule ",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:isc_t1:18,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,isc_t1,9,"9 www.afm-journal.de www.MaterialsViews.com wileyonlinelibrary.com© 2013 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim FEATURE ARTICLE from the excitation of a photosensitizer into the triplet state. These photoexcited species are expected to oxidize tyrosine residues. [ 119 ] The resultant tyrosyl radical is isomerizatio",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:isc_t1:9,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,isc_t1,4,"n this type of initiation, the dye becomes excited by simultaneous absorption of two NIR photons via a virtual state. Accessing the second excited singlet state S2, the molecule undergoes rapid radiationless decay to S1, inter- converting to the long-lived triplet state with high quantum ( Scheme 1 ). [ 75 , 76 ] Inter",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:mechanism:11,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,mechanism,4,"o NIR photons via a virtual state. Accessing the second excited singlet state S2, the molecule undergoes rapid radiationless decay to S1, inter- converting to the long-lived triplet state with high quantum ( Scheme 1 ). [ 75 , 76 ] Intermolecular electron transfer followed by hydrogen transfer from the amine to the exc",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:mechanism:15,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,mechanism,6,"ansfer is the “driving force” for 2PA, electron-donor and/or electron-acceptor groups are required. In addition, coplanar π -conjugated bridges leading to states with extended charge separation are critical in enhancing the efﬁ ciency of intramo- lecular charge transfer. Although plenty of 2PA active hydro- philic chro",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:mechanism:17,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,mechanism,7,"gh resolution (1 μ m X/Y , 3-5 μ m Z). The process was repeated to provide multiple adhe- sive signals relevant for many cell types. The group later syn- thesized biological molecules containing thiol groups for pho- tocoupling and photolabile moieties for photocleavage to and from the PEG based hydrogel. [ 102 ] This ",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:pi_loading:1,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,pi_loading,2,"lated cells, transport may be limited potentially compromising the cellular activity. Moreover, in thick samples, light attenuation becomes critical. To ensure complete conversion of precursors to polymer, poten- tially cytotoxic light intensities and high initiator concentrations may be necessary. [ 16 ] A metabolical",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:pi_loading:19,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,pi_loading,10,"ffolds with 3D features allowing a bioadhesive environment with accurate 3D topog- raphy. The constructs preserved their enzymatic degradation capabilities after the fabrication. In contrast to the AM of pure proteins, the writing speed could be as high as 10 mm s − 1 allowing for shorter fabrication times. Mesenchymal",,,text_exact_candidate,pending,unknown,local_only/text_not_published
zotero_4UUBRRGP:pi_loading:20,zotero_4UUBRRGP,4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,pi_loading,11,"racy. High laser intensities as well as precise and fast mechanics are indispensable. Using home-built systems, Mal- inauskas and co-workers have fabricated close to 1-cm sized scaffolds from hydrophobic formulations [ 48 ] at a scanning speed of up to 100 mm s − 1 . [ 125 ] Our group recently developed an experimental",,,text_exact_candidate,pending,unknown,local_only/text_not_published
