source_id,doi,title,total_record_count,legacy_record_count,automatic_record_count,field_names,evidence_lanes,automatic_statuses,overlap_group_count
zotero_LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,24,12,12,damage_threshold_laser_power; hatch_distance; objective_na; pi_loading; polymerization_threshold; scanning_speed; sigma_2pa; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_LGVQA3RI,10.1016/j.eurpolymj.2021.110505,A highly biocompatible bio-ink for 3D hydrogel scaffolds fabrication in the presence of living cells by two-photon polymerization,11,0,11,pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_LVN4MHDD,10.2494/photopolymer.32.257,Conjugated ketocarbazoles as efficient photoinitiators: From facile synthesis to efficient two-photon polymerization,34,13,21,isc_t1_proxy; laser_wavelength; mechanism; pi_loading; point_dwell_time; point_spacing; polymerization_threshold; polymerization_threshold_power; pulse_repetition_rate; pulse_width; scanning_speed; sigma_2pa; substrate_thickness; voxel_geometry; writing_power,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_MVY2JWKZ,10.1063/1.2917810,Two-photon induced fabrication of gold microstructures in polystyrene sulfonate thin films using a ruthenium(II) dye as photoinitiator,11,0,11,isc_t1_proxy; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,25,11,14,crosslinker_mass; host_guest_stoichiometry; initiator; isc_t1_proxy; laser_wavelength; mechanism; monomer_mass; objective_na; pi_loading; polymer_matrix_mass; pulse_repetition_rate; pulse_width; sensitizer; sigma_2pa; voxel_geometry; water_mass,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_NGE4C28I,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,17,0,17,mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_PEBWL6W6,10.1039/b900464e,Triphenylamine-modified quinoxaline derivatives as two-photon photoinitiators,11,0,11,pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,23,6,17,isc_t1_proxy; laser_wavelength; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry; writing_speed_upper_tested,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_QH8XLKS5,10.1016/j.polymer.2017.04.039,Localized polymerization using single photon photoinitiators in two photon process for fabricating subwavelength structures,20,0,20,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_RK5TXPZ5,10.1364/OE.6.000064,Two-photon holography in 3-D photopolymer host-guest matrix,20,12,8,diffraction_efficiency; epoxy_fraction; initial_refractive_index; laser_wavelength; photoinitiator; pi_loading; polymerization_threshold; polymerized_refractive_index; pulse_duration; pulse_repetition_rate; refractive_index_change; sigma_2pa; two_photon_threshold_intensity; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_RU8URT2Z,,Mechanism aware discovery of radical two photon photoinitiators from accessible chemical space,16,0,16,isc_t1_proxy; mechanism; polymerization_threshold; sigma_2pa,machine_text_anchor,auto_anchor_candidate,0
zotero_RXLQF5PE,10.1016/j.eurpolymj.2012.09.012,Influence of UV irradiation and two photon processing on the cinnamate monomers polymerization and formation of hybrid composites with nanosized ZnO,7,0,7,pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_RZAZ6SD2,10.1021/acsami.8b15011,Cucurbit[7]uril-Carbazole two-photon photoinitiators for the fabrication of biocompatible three-dimensional hydrogel scaffolds by laser direct writing in aqueous solutions,14,0,14,mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_S7XPYQQM,10.1364/OL.22.000132,Three-dimensional microfabrication with two-photon-absorbed photopolymerization,21,16,5,absorption_coefficient_relative; argon_laser_power; axial_pitch; exposure_time; input_laser_power; laser_peak_power; laser_wavelength; line_width; minimum_average_power; minimum_exposure; minimum_exposure_time; objective_na; pi_loading; pulse_width; resin; sigma_2pa; structure_diameter; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,25,4,21,interline_separation; isc_t1_proxy; laser_wavelength; line_width; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_TN4FRK7S,10.1080/15685551.2015.1092008,Synthesis of new photoactive urethane carbohydrates and their behavior in UV or femtosecond laser-induced two-photon polymerization,6,0,6,mechanism; pi_loading; polymerization_threshold; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_TSTS6L69,10.1002/adfm.200400212,Acrylate-based photopolymer for two-photon microfabrication and photonic applications,9,7,2,isc_t1_proxy; photoinitiator; photopolymerization_irradiance; photopolymerization_irradiance_levels; pi_loading; pi_loading_sufficient_range; resin; sigma_2pa,machine_text_anchor; text_exact,auto_anchor_candidate; legacy_accepted_preserved,0
zotero_TXIFG7RW,10.1016/j.snb.2019.127345,Light-driven micron-scale 3D hydrogel actuator produced by two-photon polymerization microfabrication,11,0,11,pi_loading; polymerization_threshold; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_U5ZNIGNS,10.1039/c8me00101d,Towards efficient initiators for two-photon induced polymerization: fine tuning of the donor/acceptor properties,20,0,20,isc_t1_proxy; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_V8BAREKK,10.1039/d2tc00331g,Geometry-driven mass transport dynamics within permeable 3D-microstructures fabricated via two-photon polymerization,22,0,22,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_WD4L7CWE,10.1016/j.eurpolymj.2019.109295,Microfabrication of 3D-hydrogels via two-photon polymerization of poly(2-ethyl-2-oxazoline) diacrylates,20,0,20,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_X4RTKEJL,10.1088/1758-5082/3/2/025003,Fabrication of 2D protein microstructures and 3D polymer-protein hybrid microstructures by two-photon polymerization,16,0,16,isc_t1_proxy; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_XAY2YYCX,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,23,0,23,isc_t1_proxy; mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
zotero_ZI5SFNAQ,10.1002/adom.202200474,Photoinitiator-free two-photon polymerization of biocompatible materials for 3D micro/nanofabrication,20,0,20,mechanism; pi_loading; polymerization_threshold; sigma_2pa; voxel_geometry,machine_text_anchor,auto_anchor_candidate,0
