evidence_id,source_id,zotero_key,doi,title,field_name,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,local_context,formulation,wavelength_nm,figure_or_table,data_role,evidence_lane,confidence_class,automatic_status,automatic_use,source_layer,source_record_id,source_text_path,automatic_reason,notes,record_origin,legacy_value_type,legacy_audit_status,legacy_visual_audit_reference,legacy_source_json,evidence_identity_key,duplicate_group_id,duplicate_group_size,duplicate_relation
AUD20260828-0011,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,hatch_distance,40,µm,40,µm,2,The hatch distance ... was set to 40 µm,The hatch distance ... was set to 40 µm,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0011,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=hatch_distance,legacy_registry,hatch_distance,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-5fac98e9b919cc49,DUP-5fac98e9b919cc49,1,unique_record
AUD20260828-0012,zotero_LF43QEJD,LF43QEJD,10.1109/ICOP56156.2022.9911711,The Influence of Photoinitiator Concentration on the Two-Photon Polymerization Threshold of Pentaerythritol Triacrylate (PETIA) Monomer,scanning_speed,0.1,mm s−1,0.1,mm s−1,2,scanning speed were set to ... 0.1 mm/s,scanning speed were set to ... 0.1 mm/s,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0012,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=scanning_speed,legacy_registry,scanning_speed,accepted,outputs/zotero_tpp_literature_pilot_20260828/screenshots/LF43QEJD/page_2.png,outputs/zotero_tpp_literature_pilot_20260828/liteparse_top10/json/03_LF43QEJD.json,EIK-725642d29cf46766,DUP-725642d29cf46766,1,unique_record
AUD20260828-0013,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,laser_wavelength,800,nm,800,nm,2,The output laser beam has ... a wavelength of 800 nm,The output laser beam has ... a wavelength of 800 nm,SR499 + Lucirin TPO-L,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0013,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=laser_wavelength,legacy_registry,laser_wavelength,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-95063acc4974ec85,DUP-95063acc4974ec85,1,unique_record
AUD20260828-0014,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pulse_width,150,fs,150,fs,2,pulse width of 150 fs,pulse width of 150 fs,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0014,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=pulse_width,legacy_registry,pulse_width,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-1ed758c6c7f524b1,DUP-1ed758c6c7f524b1,1,unique_record
AUD20260828-0015,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pulse_repetition_rate,80,MHz,80,MHz,2,pulse repetition rate of 80 MHz,pulse repetition rate of 80 MHz,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0015,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=pulse_repetition_rate,legacy_registry,pulse_repetition_rate,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-1650f61ff5d5fb41,DUP-1650f61ff5d5fb41,1,unique_record
AUD20260828-0016,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,objective_na,0.4,NA,0.4,NA,2,A 0.4 NA (20X) microscope objective was used for all experiments,A 0.4 NA (20X) microscope objective was used for all experiments,,,,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0016,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=objective_na,legacy_registry,objective_na,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-1e475d2a206b4ebd,DUP-1e475d2a206b4ebd,1,unique_record
AUD20260828-0017,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,pi_loading,"2.56, 3.78, 4.98",wt %,,,2,"three different photoinitiator concentrations by weight (2.56%, 3.78%, and 4.98%)","three different photoinitiator concentrations by weight (2.56%, 3.78%, and 4.98%)",SR499 + Lucirin TPO-L,,,context,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0017,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Reported factor levels; retained as a list rather than a single concentration.; legacy_value_type=pi_loading,legacy_registry,pi_loading,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-a098e86313190418,DUP-a098e86313190418,1,unique_record
AUD20260828-0018,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,laser_power_test_levels,"12.5, 16, 20, 25, 35, 50",mW,,,2,"six levels of applied power (12.5 mW, 16 mW, 20 mW, 25 mW, 35 mW, and 50 mW)","six levels of applied power (12.5 mW, 16 mW, 20 mW, 25 mW, 35 mW, and 50 mW)",,,,context,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0018,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Experimental factor levels.; legacy_value_type=laser_power_test_levels,legacy_registry,laser_power_test_levels,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-9240a0bba575ff56,DUP-9240a0bba575ff56,1,unique_record
AUD20260828-0019,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,scanning_speed_test_levels,"1, 3, 5",mm min−1,,,2,"three levels of speed (1 mm/min, 3 mm/min, and 5 mm/min)","three levels of speed (1 mm/min, 3 mm/min, and 5 mm/min)",,,,context,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0019,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Experimental factor levels.; legacy_value_type=scanning_speed_test_levels,legacy_registry,scanning_speed_test_levels,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-5bad0e738329976e,DUP-5bad0e738329976e,1,unique_record
AUD20260828-0020,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,fabrication_condition,3.78 wt % PI; 50 mW; 3 mm min−1,,,,2,"pattern fabricated with 3.78% photoinitiator concentration, 50 mW laser power, and 3 mm/min speed","pattern fabricated with 3.78% photoinitiator concentration, 50 mW laser power, and 3 mm/min speed",SR499 + Lucirin TPO-L,,Figure 2,context,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0020,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,legacy_value_type=fabrication_condition,legacy_registry,fabrication_condition,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-5688b64ab64c3439,DUP-5688b64ab64c3439,1,unique_record
AUD20260828-0021,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,2.80,µm,2.80,µm,7,"Table 4: width experimental = 2.80 µm; concentration 3.78 wt %, speed 2.0 mm/min, power 17.0 mW","Table 4: width experimental = 2.80 µm; concentration 3.78 wt %, speed 2.0 mm/min, power 17.0 mW",PI 3.78 wt %; 2.0 mm min−1; 17.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0021,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Estimated comparator in the same row: 2.72 µm; directly read from rendered Table 4.; legacy_value_type=width_experimental,legacy_registry,width_experimental,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-81368ca4102c4658,DUP-81368ca4102c4658,1,unique_record
AUD20260828-0022,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,1.95,µm,1.95,µm,7,"Table 4: width experimental = 1.95 µm; concentration 2.56 wt %, speed 2.5 mm/min, power 15.0 mW","Table 4: width experimental = 1.95 µm; concentration 2.56 wt %, speed 2.5 mm/min, power 15.0 mW",PI 2.56 wt %; 2.5 mm min−1; 15.0 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0022,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Estimated comparator in the same row: 1.92 µm; directly read from rendered Table 4.; legacy_value_type=width_experimental,legacy_registry,width_experimental,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-8750923623976f4b,DUP-8750923623976f4b,1,unique_record
AUD20260828-0023,zotero_INAWB8HL,INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,width_experimental,1.75,µm,1.75,µm,7,"Table 4: width experimental = 1.75 µm; concentration 2.56 wt %, speed 3.0 mm/min, power 13.5 mW","Table 4: width experimental = 1.75 µm; concentration 2.56 wt %, speed 3.0 mm/min, power 13.5 mW",PI 2.56 wt %; 3.0 mm min−1; 13.5 mW,,Table 4,numeric,text_exact,high_manual_visual_qc,legacy_accepted_preserved,legacy_evidence_reference,legacy_audited_text_exact,AUD20260828-0023,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,Preserved from the previous evidence registry; no machine reinterpretation applied.,Estimated comparator in the same row: 1.66 µm; directly read from rendered Table 4.; legacy_value_type=width_experimental,legacy_registry,width_experimental,accepted,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_2.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_3.png; outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/screenshots/INAWB8HL/page_7.png,outputs/zotero_tpp_literature_expansion_20260828/batch_20260828/liteparse/json/01_INAWB8HL.json,EIK-02b906f9d35883b3,DUP-02b906f9d35883b3,1,unique_record
