entity_id,paper_id,doi,source_label,terminal_status,terminal_reason,source_evidence_id,source_location,scientific_boundary
SRCENT-d276c0b540cd979d9c,OA2P-000132,10.1016/s0007-8506(07)61699-0,TEA,terminal_nonchemical_token,"TEA CO2 laser acronym, not triethylamine",TXTID-0972a414e0024ce8,PDF page 5; embedded-text characters 3736-3739,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-ddb4e1056883546901,OA2P-000463,10.3389/fphy.2018.00016,TEA,terminal_nonchemical_token,"TEA CO2 laser acronym, not triethylamine",TXTID-66589c75d8338a21,PDF page 5; embedded-text characters 2755-2758,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-df74f0a50698ec67ed,ZPC-004762,10.1021/acs.macromol.8b02640,Tea,terminal_nonchemical_token,"citation-title token, not triethylamine",TXTID-4c887d1e7772479e,PDF page 8; embedded-text characters 4103-4106,Terminal classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-2065768a4c38a8ddc2,ZPC-000021,10.1016/j.dental.2015.10.013,DPIHP,terminal_material_record,crosschecked_multicomponent_material_identity: none_for_material_identity;single_graph_use_remains_forbidden,TXTID-5e9be76c3ae9ac5e;TXTID-e7de819930f94e04,PDF page 1; embedded-text characters 1940-1945;PDF page 2; embedded-text characters 3298-3303,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-d1ab18d1479312bdef,ZPC-005125,10.18063/ijb.752,LAP,terminal_material_record,provisional_multicomponent_material_requires_source_structure: source_structure_or_supplier_record_confirming_complete_salt,TXTID-10a316dcf5eb436c,PDF page 1; embedded-text characters 2163-2166,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-33b348e18e67b99637,zotero_MZLGYQTP,10.1016/j.jphotochem.2009.02.007,dmdpi,terminal_material_record,crosschecked_multicomponent_material_identity: salt has two disconnected charged components,TXTID-60e26565adf90c72,PDF page 2; embedded-text characters 279-284,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-6066f2aca821b037dc,ZPC-004253,10.1002/pi.1835,COMPOUND4,terminal_material_record,source_defined_salt: bromide salt is not a single neutral molecular graph,TXTID-c801e890cb95a725,PDF page 3; embedded-text characters 2027-2037,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-43926d3c957ac62ca5,ZPC-004587,10.1021/acsapm.2c00316,hnu,terminal_material_record,source_defined_material: commercial material contains a salt and fluorophore component; no single-graph claim,TXTID-c97d2ab3bb3e4e1c,PDF page 4; embedded-text characters 12-16,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-1b5e073932462319fe,zotero_4UUBRRGP,10.1002/adfm.201203880,eosiny,terminal_material_record,counterion_unspecified_ionic_material: original table depicts the dye ion without a defined counterion,TXTID-929963d519cd4441,PDF page 5; embedded-text characters 494-501,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-7386a331106f73837e,ZPC-004762,10.1021/acs.macromol.8b02640,irgacure754,terminal_material_record,commercial_mixture_or_trade_material: trade-name material is not treated as one exact structure,TXTID-77367b1c0f1a0062,PDF page 2; embedded-text characters 199-211,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
SRCENT-9494f11367d87b3eb7,ZPC-004284,10.1039/d1py00914a,litpo61,terminal_material_record,source_defined_salt: lithium salt remains in the material registry and is not a single graph,TXTID-2a94e4e26d747b90,PDF page 3; embedded-text characters 2764-2771,Terminal material classification only; excluded from single-molecule training and unresolved identity queue.
