entity_id,paper_id,doi,source_label,candidate_count,eligible_candidate_count,resolved_candidate_count,distinct_external_inchikeys,selected_query_name,selected_query_slug,selected_candidate_type,selected_candidate_id,source_location,rendered_page_path,pubchem_cid,canonical_smiles,inchikey,molecular_formula,fragment_count,formal_charge,decision_status,confidence_tier,decision_basis,scientific_use_boundary
SRCENT-e7312313c6c963c9ad,ZPC-004253,10.1002/pi.1835,compound 2,6,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-2dbc5d429858c0f88c,ZPC-004253,10.1002/pi.1835,compound 3,5,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-6066f2aca821b037dc,ZPC-004253,10.1002/pi.1835,compound 4,6,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-bf25224a98cd1e26d2,ZPC-004253,10.1002/pi.1835,Darocur 1173,7,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-da0b8ed42298284a7b,ZPC-005323,10.1002/polb.24891,thioxanthone,9,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-cc21558414e39a1163,OA2P-000080,10.1007/s00170-022-08731-1,PI 0,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-81400a73c96186dd31,OA2P-000087,10.1007/s40820-020-00577-0,CO2,61,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ff6ca0382c148b2874,ZPC-000021,10.1016/j.dental.2015.10.013,CQ,61,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-e84320672c6f55f95f,ZPC-000021,10.1016/j.dental.2015.10.013,DMAEMA,3,1,1,1,2-(dimethylamino) ethyl methacrylate,q_4a4fcda1ac2903342e7c,full_name_before_parenthesized_label,TXTID-6550d611384a5fcf,PDF page 2; embedded-text characters 781-787,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_v4_20260906\source_pages\ZPC-000021\page_0002.png,17869,C=C(C)C(=O)OCCN(C)C,JKNCOURZONDCGV-UHFFFAOYSA-N,C8H15NO2,1,0,provisional_corrected_name_requires_source_structure_concordance,B_text_corrected_name,source_text_name_with_spelling_correction_requires_structure_concordance,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-2065768a4c38a8ddc2,ZPC-000021,10.1016/j.dental.2015.10.013,DPIHP,29,2,2,1,,,,,,,,,,,,,provisional_external_match_multicomponent,B_text_multicomponent,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-da54801d8f297e0812,zotero_WD4L7CWE,10.1016/j.eurpolymj.2019.109295,BA740,20,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-2219a604c8ef37b54b,ZPC-001468,10.1016/j.eurpolymj.2019.109295,TEA,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-b96775b3cab2362d89,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,compound 1,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-2fdf60bd6fb3e2f85c,zotero_A7T5Q7PK,10.1016/j.eurpolymj.2020.110209,thioxanthone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-8e1db9d4c98a593413,ZPC-006106,10.1016/j.eurpolymj.2021.110293,ZnO-TDI-1173,63,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-8e15764522dc236729,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 1,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-f36457cdfca9a655df,ZPC-001187,10.1016/j.jphotochem.2007.03.002,PI 2,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-33b348e18e67b99637,zotero_MZLGYQTP,10.1016/j.jphotochem.2009.02.007,DMDPI,21,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-771b9eb82ecc5b410c,ZPC-006320,10.1016/j.jphotochem.2019.112225,BFC,94,2,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-d4818592609366bb91,ZPC-006320,10.1016/j.jphotochem.2019.112225,PI 2,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c39178b0784b14987e,zotero_QH8XLKS5,10.1016/j.polymer.2017.04.039,Lucirin TPOL,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-150ae3be5ccf651755,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 1173,19,1,1,1,2-Hydroxy-2-methyl-phenylpropane-1-one,q_61e0ba9b8b97bf79eac4,full_name_before_parenthesized_label,TXTID-c34903a190266ff4,PDF page 2; embedded-text characters 371-383,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_v4_20260906\source_pages\ZPC-000304\page_0002.png,81984,CC(C)(O)C(=O)c1ccccc1,XMLYCEVDHLAQEL-UHFFFAOYSA-N,C10H12O2,1,0,provisional_corrected_name_requires_source_structure_concordance,B_text_corrected_name,source_text_name_with_spelling_correction_requires_structure_concordance,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-200723efa959a42d27,ZPC-000304,10.1016/j.porgcoat.2018.05.008,PI 66,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-cbed2fe764e54f3a86,ZPC-004082,10.1016/j.porgcoat.2019.06.027,OXE1,28,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-5e2ce95f52eb9ad889,ZPC-003074,10.1016/j.saa.2007.07.064,compound 4,13,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-d276c0b540cd979d9c,OA2P-000132,10.1016/s0007-8506(07)61699-0,TEA,6,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-f00966f6c0f1a5a48a,zotero_SRU6DZHE,10.1021/acs.macromol.0c01518,benzophenone,4,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-34230a461b8f18a7b9,ZPC-001606,10.1021/acs.macromol.1c00761,compound 5,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-7c2219fdb32c70340e,ZPC-001606,10.1021/acs.macromol.1c00761,DMPT,51,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-fe7efd003eaed4b103,ZPC-004762,10.1021/acs.macromol.8b02640,compound 4,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-7386a331106f73837e,ZPC-004762,10.1021/acs.macromol.8b02640,Irgacure 754,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-df74f0a50698ec67ed,ZPC-004762,10.1021/acs.macromol.8b02640,Tea,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-d222cc8e85c04a0ca6,ZPC-004762,10.1021/acs.macromol.8b02640,thioxanthone,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-de2eda9af43d872c06,zotero_B6B7CEZ3,10.1021/acsapm.0c01291,PI 2,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-43926d3c957ac62ca5,ZPC-004587,10.1021/acsapm.2c00316,H-Nu,25,1,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-12730bbc955ae60eae,ZPC-002104,10.1021/acsapm.5c01802,PI 1,16,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,13,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-98a4b67090967e0b8b,ZPC-002104,10.1021/acsapm.5c01802,PI 3,13,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-16cd7b6803f52ac6aa,zotero_H86SV53N,10.1021/la803803m,benzophenone,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-382f34b04646c7a1f0,ZPC-005136,10.1021/la803803m,TEA,5,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-232f778bdb9d05b64c,ZPC-006011,10.1021/ma500612x,camphorquinone,2,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ff08161ddda7a22153,ZPC-000028,10.1021/ma9007785,TPIP,18,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-b2187e21caa18e3f14,ZPC-005809,10.1021/ma900887h,MTPBP,68,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-efd88b29c51b679006,ZPC-005809,10.1021/ma900887h,PI 4,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-1677f2583369af7b6f,ZPC-000685,10.1021/ma9514838,PI 5,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-46074ac79ecf8ea92d,OA2P-000181,10.1038/ncomms11975,PI 4,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c24b5a945cddfaa9cf,ZPC-001953,10.1038/s41598-017-17391-1,PI 2,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-75bac74ac46e131c37,ZPC-000356,10.1039/b009992i,BEE,24,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-1f6359af56a12920ee,zotero_87BWABRN,10.1039/c4tc00706a,compound 1,7,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-0d7e067227e59feb87,zotero_87BWABRN,10.1039/c4tc00706a,thioxanthone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c21c4929d2054c5ba5,ZPC-004284,10.1039/d1py00914a,DAS,19,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-9494f11367d87b3eb7,ZPC-004284,10.1039/d1py00914a,LiTPO61,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-b2b70ef58fcc0b4c09,ZPC-000049,10.1039/d4sc03527e,PI 23,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-0946feac5d870464b5,ZPC-003545,10.1142/s0218863514500489,thioxanthone,2,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c1822a836fb7c8d432,ZPC-000385,10.1166/jnn.2013.6011,PI 3,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-bf7d9e098705cf0abf,ZPC-003968,10.1364/oe.18.027550,TEA,9,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-5b78d8104ce9fd8c33,OA2P-000400,10.1364/oe.389215,M-112,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-3cd37af14dd9642142,ZPC-005874,10.1515/nanoph-2022-0611,benzophenone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-552eb503a9aa56f233,ZPC-005874,10.1515/nanoph-2022-0611,thioxanthone,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-d1ab18d1479312bdef,ZPC-005125,10.18063/ijb.752,LAP,19,1,1,1,,,,,,,,,,,,,provisional_external_match_multicomponent,B_text_multicomponent,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-da632780073857e227,OA2P-000440,10.21203/rs.3.rs-1797484/v1,PI 4,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-69531b3857510671c4,ZPC-000336,10.2478/bf02475199,TEA,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-78bfca0b587888abb4,OA2P-000445,10.2494/photopolymer.14.657,compound 11,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-88c1b164b46ca28a6c,OA2P-000445,10.2494/photopolymer.14.657,PI 10,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-9b82a07a926bfcbc89,OA2P-000445,10.2494/photopolymer.14.657,PI 11,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-7263fa8b4e95220be7,OA2P-000453,10.2961/jlmn.2011.03.0004,Darocur 1173,3,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-ddb4e1056883546901,OA2P-000463,10.3389/fphy.2018.00016,TEA,2,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-0883e7d20044d19198,zotero_AU74BQZ6,10.37188/lam.2023.004,PI 37,0,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-037e697ec4b511929e,zotero_AU74BQZ6,10.37188/lam.2023.004,thioxanthone,1,0,0,0,,,,,,,,,,,,,unresolved_no_eligible_source_text_definition,U_text,,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
