cluster_id,paper_id,doi,title,source_lane,page_hint,cluster_basis,char_start,char_end,member_count,field_group_count,field_groups,field_values_json,positioned_member_count,existing_condition_ids,existing_condition_overlap_count,cluster_quality,relative_core_signal,comsol_requirement_count,comsol_missing_requirements,strict_gate_status,condition_scope
CONDCL-129cdfdca52782c411,ZPC-002687,10.1002/adem.200980012,Two photon polymerization-micromolding of polyethylene glycol-gentamicin sulfate microneedles,core_two_photon,,char_window,7495,8908,2,1,atmosphere,"{""atmosphere"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""degassed"", ""raw_unit"": """"}]}",2,,0,single_field_context_cluster,false,1,focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-75475ab3e03a430218,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,3,char_window,13834,14191,4,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""30% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""90% laser power"", ""raw_unit"": ""%""}]}",4,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-c22995273f0268ebfa,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,4,char_window,19801,19807,1,1,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",1,,0,single_field_context_cluster,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-9625952abaa293ddb2,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,5,char_window,22839,23268,4,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""30% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""50% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 40%"", ""raw_unit"": ""%""}]}",4,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-138b4884adf6852801,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,6,char_window,24257,24275,1,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 30%"", ""raw_unit"": ""%""}]}",1,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-2ffd412ddc1cf1e8c6,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,6,char_window,26163,27305,4,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 40%"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""laser power of 90%"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""40% laser power"", ""raw_unit"": ""%""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""50% laser power"", ""raw_unit"": ""%""}]}",4,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-9385e6d01b1d9af3e4,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,6,char_window,30866,30883,2,1,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""254"", ""normalized_unit"": ""nm"", ""raw"": ""254 nm"", ""raw_unit"": ""nm""}, {""normalized"": ""365"", ""normalized_unit"": ""nm"", ""raw"": ""365 nm"", ""raw_unit"": ""nm""}]}",2,,0,single_field_context_cluster,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-80a92559f17cfe87a4,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,7,char_window,33626,33630,1,1,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""1 mm"", ""raw_unit"": ""mm""}]}",1,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-e73b2b1b850ac3328b,ZPC-000401,10.1002/adem.202201688,Utilizing the sensitization effect for direct laser writing in a novel photoresist based on the chitin monomer n-acetyl-d-glucosamine,out_of_scope_for_expansion,7,char_window,35797,36663,4,3,laser_power;objective_NA;wavelength_nm,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""57.8 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""57.8"", ""normalized_unit"": ""mW"", ""raw"": ""57.8 mW"", ""raw_unit"": ""mW""}], ""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}], ""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",4,,0,multi_field_candidate_cluster,false,2,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-ba616a86f27775092c,zotero_TSTS6L69,10.1002/adfm.200400212,Acrylate-based photopolymer for two-photon microfabrication and photonic applications,out_of_scope_for_expansion,3,exact_anchor,,,1,1,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-42b9814936d0,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-4cba505c92221ee223,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,10,exact_anchor,,,1,1,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-1e6bbf9b1e3c,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-26c633c347ead67f3b,ZPC-002898,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,10,char_window,54041,54148,2,1,objective_NA,"{""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}, {""normalized"": ""0.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""0.4"", ""raw_unit"": """"}]}",2,,0,single_field_context_cluster,false,1,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-a61786e195455cdb99,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,11,exact_anchor,,,1,1,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-12f9616f2d4c,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-274c246af20d5be4fc,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,2,exact_anchor,,,1,1,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-26ac250b63b2,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-1949cdaf889f3df2e0,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,3,exact_anchor,,,1,1,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-49816a83ee9b,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-39705e1c05a9c030c7,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,3,exact_anchor,,,1,1,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-3420e680c2ab,1,single_field_context_cluster,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-fa2669f90e9cf40ae7,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,3,exact_anchor,,,1,1,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-6fe5432630c9,1,single_field_context_cluster,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-fd354749873e6b35ec,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,3,exact_anchor,,,1,1,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-ecc7ad725388,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-2404f2b6326df178ee,ZPC-002898,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,3,char_window,13160,13166,1,1,objective_NA,"{""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}]}",1,,0,single_field_context_cluster,false,1,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-3f14fe8f56f2febf1b,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,4,exact_anchor,,,1,1,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-28f36b0ad07d,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-54572d36800664e063,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,4,exact_anchor,,,1,1,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-a711827a22f2,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-746dfc0f27b125dbbe,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,4,exact_anchor,,,1,1,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-4202590e9852,1,single_field_context_cluster,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-78e5686f74e1d3d031,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,4,exact_anchor,,,1,1,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-a3b408c4d936,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-f335820b5365b131da,ZPC-002898,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,4,char_window,23642,24959,3,2,laser_power;wavelength_nm,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""100 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""100"", ""normalized_unit"": ""mW"", ""raw"": ""100 mW"", ""raw_unit"": ""mW""}], ""wavelength_nm"": [{""normalized"": ""515"", ""normalized_unit"": ""nm"", ""raw"": ""515 nm"", ""raw_unit"": ""nm""}]}",3,,0,multi_field_candidate_cluster,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-5a94fe2d3923a151d9,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,5,exact_anchor,,,1,1,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-a89d3f0a4e3d,1,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-51ab06ab7eec1c13d9,zotero_4UUBRRGP,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,7,exact_anchor,,,1,1,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",0,COND-c2fbc6d56443,1,single_field_context_cluster,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,exact_anchor_cluster_candidate
CONDCL-5f96fd586856b6ef0e,ZPC-002898,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,8,char_window,39345,39362,2,1,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""860"", ""normalized_unit"": ""nm"", ""raw"": ""860 nm"", ""raw_unit"": ""nm""}, {""normalized"": ""740"", ""normalized_unit"": ""nm"", ""raw"": ""740 nm"", ""raw_unit"": ""nm""}]}",2,,0,single_field_context_cluster,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-7b3db478af9eb96e0b,ZPC-002898,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,core_two_photon,8,char_window,43142,43214,2,1,wavelength_nm,"{""wavelength_nm"": [{""normalized"": ""860"", ""normalized_unit"": ""nm"", ""raw"": ""860 nm"", ""raw_unit"": ""nm""}, {""normalized"": ""740"", ""normalized_unit"": ""nm"", ""raw"": ""740 nm"", ""raw_unit"": ""nm""}]}",2,,0,single_field_context_cluster,false,1,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-cede01a33fc11455cf,ZPC-002126,10.1002/adfm.201500683,Rapid thiol-yne-mediated fabrication and dual postfunctionalization of micro-resolved 3D mesostructures,out_of_scope_for_expansion,4,char_window,19649,19654,2,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""21 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""21"", ""normalized_unit"": ""mW"", ""raw"": ""21 mW"", ""raw_unit"": ""mW""}]}",2,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-50eeab1d466981f3e6,ZPC-002126,10.1002/adfm.201500683,Rapid thiol-yne-mediated fabrication and dual postfunctionalization of micro-resolved 3D mesostructures,out_of_scope_for_expansion,5,char_window,24199,24607,4,1,laser_power,"{""laser_power"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""27 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""27"", ""normalized_unit"": ""mW"", ""raw"": ""27 mW"", ""raw_unit"": ""mW""}, {""normalized"": ""19.44"", ""normalized_unit"": ""mW"", ""raw"": ""19.44 mW"", ""raw_unit"": ""mW""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""19.44 mW"", ""raw_unit"": ""mW""}]}",4,,0,single_field_context_cluster,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-80fc1794881892873a,ZPC-002126,10.1002/adfm.201500683,Rapid thiol-yne-mediated fabrication and dual postfunctionalization of micro-resolved 3D mesostructures,out_of_scope_for_expansion,9,char_window,45593,45601,1,1,objective_NA,"{""objective_NA"": [{""normalized"": ""0.5"", ""normalized_unit"": ""dimensionless"", ""raw"": ""0.5"", ""raw_unit"": """"}]}",1,,0,single_field_context_cluster,false,1,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-e14239519e3273ee40,ZPC-002126,10.1002/adfm.201500683,Rapid thiol-yne-mediated fabrication and dual postfunctionalization of micro-resolved 3D mesostructures,out_of_scope_for_expansion,9,char_window,47737,47801,2,2,pulse_width_fs;wavelength_nm,"{""pulse_width_fs"": [{""normalized"": ""90"", ""normalized_unit"": ""fs"", ""raw"": ""90 fs"", ""raw_unit"": ""fs""}], ""wavelength_nm"": [{""normalized"": ""780"", ""normalized_unit"": ""nm"", ""raw"": ""780 nm"", ""raw_unit"": ""nm""}]}",2,,0,multi_field_candidate_cluster,false,2,atmosphere;focusing;geometry;motion_or_dwell;power_plane;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
CONDCL-1a03041e0ac0b15518,OA2P-000005,10.1002/adfm.201702425,Direct Laser Writing of Low‐Density Interdigitated Foams for Plasma Drive Shaping,out_of_scope_for_expansion,10,char_window,16649,18530,9,3,pi_loading;scan_speed;wavelength_nm,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": ""0.1 mm"", ""raw_unit"": ""mm""}], ""scan_speed"": [{""normalized"": ""50000"", ""normalized_unit"": ""um/s"", ""raw"": ""50 mm/s"", ""raw_unit"": ""mm/s""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""50 mm/s"", ""raw_unit"": ""mm/s""}, {""normalized"": ""100"", ""normalized_unit"": ""um/s"", ""raw"": ""0.1 mm/s"", ""raw_unit"": ""mm/s""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""0.1 mm/s"", ""raw_unit"": ""mm/s""}, {""normalized"": """", ""normalized_unit"": """", ""raw"": ""1 mm/s"", ""raw_unit"": ""mm/s""}, {""normalized"": ""1000"", ""normalized_unit"": ""um/s"", ""raw"": ""1 mm/s"", ""raw_unit"": ""mm/s""}], ""wavelength_nm"": [{""normalized"": ""350"", ""normalized_unit"": ""nm"", ""raw"": ""350 nm"", ""raw_unit"": ""nm""}]}",9,,0,multi_field_candidate_cluster,false,2,atmosphere;focusing;geometry;power_plane;pulse_width;repetition_rate,automatic_candidate_not_strict_ready,local_text_window_cluster_candidate
