entity_id,paper_id,doi,raw_label,normalized_label,occurrence_count,page_hints,pdf_status,pages_processed,detected_structure_objects,strict_complete_candidates,distinct_candidate_inchikeys,selected_canonical_smiles,selected_inchikey,selected_formula,supporting_detection_count,conflicting_detection_count,identity_status,confidence_tier,scientific_use,source_structure_locations,claim_boundary
SRCENT-d4818592609366bb91,ZPC-006320,10.1016/j.jphotochem.2019.112225,PI 2,pi2,1,4,available,5,18,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-19dfb513ff81876879,ZPC-003710,10.1016/j.jphotochem.2020.112844,camphorquinone,camphorquinone,2,1;5,available,5,10,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-c39178b0784b14987e,zotero_QH8XLKS5,10.1016/j.polymer.2017.04.039,Lucirin TPOL,lucirintpol,1,3,available,2,0,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-150ae3be5ccf651755,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 1173,darocur1173,36,7;8;9,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-aa7a9f16af2f0af37f,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 184,darocur184,1,8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-980eff1ece9f559747,ZPC-000304,10.1016/j.porgcoat.2018.05.008,Darocur 651,darocur651,1,8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-200723efa959a42d27,ZPC-000304,10.1016/j.porgcoat.2018.05.008,PI 66,pi66,1,8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-cbed2fe764e54f3a86,ZPC-004082,10.1016/j.porgcoat.2019.06.027,OXE1,oxe1,10,4;5;6;7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-973108374789b87a33,ZPC-000285,10.1016/j.porgcoat.2020.105546,Irgacure 184,irgacure184,17,1;3;5;6;7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-3c5f5ba01047b3e87a,ZPC-005973,10.1016/j.porgcoat.2021.106214,Irgacure 2959,irgacure2959,15,1;4;6,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-60ad136656e7ed0d46,ZPC-005973,10.1016/j.porgcoat.2021.106214,thioxanthone,thioxanthone,11,1;3;9,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-adbaaf2183a501cf1e,ZPC-005497,10.1016/j.progpolymsci.2020.101277,camphorquinone,camphorquinone,3,8;9,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-ff6e693086a48c5b4a,ZPC-005497,10.1016/j.progpolymsci.2020.101277,thioxanthone,thioxanthone,5,32;8;9,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-5e2ce95f52eb9ad889,ZPC-003074,10.1016/j.saa.2007.07.064,compound 4,compound4,2,4,available,5,25,0,0,,,,0,0,provisional_numeric_only_panel_pair,B_numeric,candidate_identity_only_not_model_ready,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-d276c0b540cd979d9c,OA2P-000132,10.1016/s0007-8506(07)61699-0,TEA,tea,2,5,available,5,1,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-f00966f6c0f1a5a48a,zotero_SRU6DZHE,10.1021/acs.macromol.0c01518,benzophenone,benzophenone,3,3,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-ffecb74a0899ec6fec,ZPC-001606,10.1021/acs.macromol.1c00761,benzophenone,benzophenone,24,2;4;5;8,available,5,32,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-2bc07af501282a7369,ZPC-001606,10.1021/acs.macromol.1c00761,camphorquinone,camphorquinone,2,4,available,5,32,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-34230a461b8f18a7b9,ZPC-001606,10.1021/acs.macromol.1c00761,compound 5,compound5,1,1,available,5,32,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-7c2219fdb32c70340e,ZPC-001606,10.1021/acs.macromol.1c00761,DMPT,dmpt,1,10,available,5,32,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-f394e00e68fa688bb6,ZPC-001606,10.1021/acs.macromol.1c00761,thioxanthone,thioxanthone,2,4,available,5,32,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-90e15f63df794f3e59,ZPC-000031,10.1021/acs.macromol.7b00089,OXE01,oxe01,106,1;2;3;4;5;6;7,available,5,29,3,1,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Sc2ccccc2)cc1,LOCXTTRLSIDGPS-AZPGRJICSA-N,C27H27NO3S,3,0,automatic_closed_repeated_strict_panel_structure,A_auto,identity_linkage_candidate_not_numeric_benchmark_truth,"PDF page 4; structure bbox (981, 310, 1432, 588); label bbox (1147, 559, 1237, 581) | PDF page 5; structure bbox (884, 419, 1276, 659); label bbox (1029, 636, 1106, 655) | PDF page 7; structure bbox (415, 332, 811, 572); label bbox (571, 531, 649, 551)","This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-ee2bba2365c7cd81de,ZPC-004762,10.1021/acs.macromol.8b02640,benzophenone,benzophenone,7,2;3;4;7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-fe7efd003eaed4b103,ZPC-004762,10.1021/acs.macromol.8b02640,compound 4,compound4,3,2,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-3f5d988f15e99eb5ab,ZPC-004762,10.1021/acs.macromol.8b02640,DDFD,ddfd,1,6,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-602323f1037a13b7cb,ZPC-004762,10.1021/acs.macromol.8b02640,IC2959,ic2959,3,7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-be3fe956762ec2104e,ZPC-004762,10.1021/acs.macromol.8b02640,Irgacure 2959,irgacure2959,6,7,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-7386a331106f73837e,ZPC-004762,10.1021/acs.macromol.8b02640,Irgacure 754,irgacure754,1,2,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-df74f0a50698ec67ed,ZPC-004762,10.1021/acs.macromol.8b02640,Tea,tea,1,8,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-d222cc8e85c04a0ca6,ZPC-004762,10.1021/acs.macromol.8b02640,thioxanthone,thioxanthone,5,6,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-d2772a0ff64f2edf22,zotero_RZAZ6SD2,10.1021/acsami.8b15011,Irgacure 2959,irgacure2959,1,2,available,1,1,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-de2eda9af43d872c06,zotero_B6B7CEZ3,10.1021/acsapm.0c01291,PI 2,pi2,3,2,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-441e8995fec6cb3ac9,zotero_B6B7CEZ3,10.1021/acsapm.0c01291,thioxanthone,thioxanthone,7,1;5,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-43926d3c957ac62ca5,ZPC-004587,10.1021/acsapm.2c00316,H-Nu,hnu,6,4,available,4,5,1,1,CCOc1cccc([IH]c2ccccc2)c1,NGHFOBRBHXLPIG-UHFFFAOYSA-N,C14H15IO,1,0,provisional_single_strict_panel_structure,B_strict_single,candidate_identity_only_not_model_ready,"PDF page 3; structure bbox (1427, 1164, 1659, 1361); label bbox (1656, 1163, 1779, 1185)","This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-55efe70bc7aaa04397,zotero_PJQEIM6F,10.1021/acsapm.4c00932,benzophenone,benzophenone,1,1,available,5,21,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-12730bbc955ae60eae,ZPC-002104,10.1021/acsapm.5c01802,PI 1,pi1,12,,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-189545e4be17562b10,ZPC-002104,10.1021/acsapm.5c01802,PI 2,pi2,15,,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-98a4b67090967e0b8b,ZPC-002104,10.1021/acsapm.5c01802,PI 3,pi3,12,,not_targeted,0,0,0,0,,,,0,0,not_selected_for_targeted_refinement,N_target,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
SRCENT-f27d56ceabfdb6d312,ZPC-000012,10.1021/acsmacrolett.7b00499,benzophenone,benzophenone,1,1,available,3,13,0,0,,,,0,0,unresolved_no_strict_panel_pair,U,retrieval_and_future_identity_closure_only,,"This registry resolves molecular identity only. It does not validate or change any photophysical, polymerization, formulation, threshold, or external-test value."
