evidence_id,paper_id,zotero_key,doi,title,value_type,raw_value,raw_unit,normalized_value,normalized_unit,page_hint,evidence_anchor,formulation,wavelength_nm,figure_id,data_role,evidence_lane,confidence_class,audit_status,visual_audit_reference,source_json,notes
AUD20260828-0045,zotero_PJQEIM6F,PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,writing_speed_upper_tested,46,mm s−1,46,mm s−1,7,with the increase of scanning speed to 46 mm s−1,CCK-Th/CCK-Ben in PETA,,Figure 7,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,"Upper tested speed, not a threshold-curve ordinate."
AUD20260828-0046,zotero_SRU6DZHE,SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,laser_wavelength,532,nm,532,nm,1,sub-nanosecond pulsed laser irradiation at 532 nm,,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0047,zotero_SRU6DZHE,SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,polymerization_threshold_relative_claim,up to eight times lower,relative to classical two-photon initiators,8,fold_lower_upper_bound,1,polymerization threshold up to eight times lower than that obtained with the classically used two-photon initiators,,,,claim_only,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,Comparative abstract claim; no absolute threshold value is asserted.
AUD20260828-0048,zotero_SRU6DZHE,SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,line_width,<100,nm,<100,nm,1,sub-100 nm line width,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0049,zotero_SRU6DZHE,SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization Photoinitiators with Near-Resonance Enhanced Two-Photon Absorption Cross-Section: Toward High-Resolution Photoresist with Improved Sensitivity,interline_separation,250,nm,250,nm,1,at 250 nm interline separation,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0050,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,laser_wavelength,780,nm,780,nm,2,oscillating wavelength ... 780 nm,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0051,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,pulse_width,80,fs,80,fs,2,pulse width ... 80 fs,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0052,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,pulse_repetition_rate,82,MHz,82,MHz,2,repetition rate ... 82 MHz,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0053,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,objective_na,1.4,NA,1.4,NA,2,100× oil-immersion objective lens ... NA = 1.4,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0054,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,polymer_matrix_mass,1,g,1,g,2,samples consisted of PVP (1 g),PVP,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0055,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,monomer_mass,1,g,1,g,2,AM (1 g),AM,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0056,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,crosslinker_mass,0.1,g,0.1,g,2,bis-AM (0.1 g),bis-AM,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0057,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,water_mass,4,g,4,g,2,H2O (4 g),aqueous sample,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0058,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,sensitizer,FL/EO/RB,,,,2,"FL, EO, RB as sensitizer",aqueous TPP system,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0059,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,initiator,complex A,,,,2,complex A as initiator,aqueous TPP system,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0060,zotero_MZLGYQTP,MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,host_guest_stoichiometry,1:2,DMDPI:Me-β-CD,,,2,one molecule of DMDPI associates with two molecules of Me-β-CD,,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0061,zotero_H86SV53N,H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,photoinitiator,"4,4′-bis(diethylamino)benzophenone (DABP)",,,,1,"with 4,4′-bis(diethylamino)benzophenone as the photoinitiator",,,,context,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0062,zotero_H86SV53N,H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,pi_loading,2,wt %,2,wt %,4,photoinitiator (2 wt% to the polymer),biodegradable methacrylate polymer + DABP,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0063,zotero_H86SV53N,H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,polymer_mass,0.5,g,0.5,g,4,0.5 g of the polymer carrying the methacrylate functionalities,,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
AUD20260828-0064,zotero_H86SV53N,H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,solvent_volume,250,µL,250,µL,4,dissolved in 250 µL diethyl ether,diethyl ether,,,numeric,text_exact,high_manual_visual_qc,accepted,local_only/visual_audit_not_published,local_only/source_json_not_published,
