priority,source_id,zotero_key,doi,title,year,journal,item_type,study_type,relevance_score,collection_keys,child_count,local_pdf_count,local_pdf_attachment_keys,local_pdf_paths,local_pdf_sha256,local_pdf_bytes,acquisition_status,selection_reason,resolution_source,resolved_at_utc,openalex_id,openalex_doi,matched_title,match_method,oa_is_oa,oa_status,best_oa_pdf_url,best_oa_reported_asset_url,best_oa_content_type,best_oa_http_status,best_oa_probe_status,best_oa_landing_url,best_oa_version,best_oa_license,best_oa_source,primary_landing_url,oa_locations_json,resolution_status
61,zotero_HN8QFB4C,HN8QFB4C,10.1016/j.addma.2023.103741,Copper complex-based photoinitiator for high resolution two-photon polymerization,AUG 5 2023,ADDITIVE MANUFACTURING,journalArticle,primary_or_methods,25,4PTLB29Y,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4385804328,https://doi.org/10.1016/j.addma.2023.103741,Copper complex-based photoinitiator for high resolution two-photon polymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.addma.2023.103741,,,,https://doi.org/10.1016/j.addma.2023.103741,[],oa_landing_candidate
62,zotero_LM7XGVES,LM7XGVES,10.3390/polym13193385,A hydrophobic derivative of ciprofloxacin as a new photoinitiator of two-photon polymerization: Synthesis and usage for the formation of biocompatible polylactide-based 3D scaffolds,2021-10,POLYMERS,journalArticle,primary_or_methods,25,UIAXPZ69,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W3202562033,https://doi.org/10.3390/polym13193385,A Hydrophobic Derivative of Ciprofloxacin as a New Photoinitiator of Two-Photon Polymerization: Synthesis and Usage for the Formation of Biocompatible Polylactide-Based 3D Scaffolds,doi_exact,True,gold,https://www.mdpi.com/2073-4360/13/19/3385/pdf?version=1633086244,https://www.mdpi.com/2073-4360/13/19/3385/pdf?version=1633086244,application/pdf,200,head_ok,https://doi.org/10.3390/polym13193385,publishedVersion,cc-by,Polymers,https://doi.org/10.3390/polym13193385,"[{""landing_page_url"": ""https://doi.org/10.3390/polym13193385"", ""pdf_url"": ""https://www.mdpi.com/2073-4360/13/19/3385/pdf?version=1633086244"", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": ""cc-by"", ""source_name"": ""Polymers"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://www.ncbi.nlm.nih.gov/pmc/articles/8512357"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""PubMed Central"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}, {""landing_page_url"": ""https://elib.bsu.by/handle/123456789/288667"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""submittedVersion"", ""license"": ""cc-by"", ""source_name"": ""Digital Library of the Belarusian State University (Belarusian State University)"", ""source_type"": ""repository"", ""source_is_in_doaj"": false}]",oa_pdf_candidate
63,zotero_LVN4MHDD,LVN4MHDD,10.2494/photopolymer.32.257,Conjugated ketocarbazoles as efficient photoinitiators: From facile synthesis to efficient two-photon polymerization,2019,JOURNAL OF PHOTOPOLYMER SCIENCE AND TECHNOLOGY,journalArticle,primary_or_methods,25,IJ7VTZ4F,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2984716575,https://doi.org/10.2494/photopolymer.32.257,Conjugated Ketocarbazoles as Efficient Photoinitiators: From Facile Synthesis to Efficient Two-photon Polymerization,doi_exact,True,diamond,https://www.jstage.jst.go.jp/article/photopolymer/32/2/32_257/_pdf,https://www.jstage.jst.go.jp/article/photopolymer/32/2/32_257/_pdf,application/pdf;charset=UTF-8,200,head_ok,https://doi.org/10.2494/photopolymer.32.257,publishedVersion,,Journal of Photopolymer Science and Technology,https://doi.org/10.2494/photopolymer.32.257,"[{""landing_page_url"": ""https://doi.org/10.2494/photopolymer.32.257"", ""pdf_url"": ""https://www.jstage.jst.go.jp/article/photopolymer/32/2/32_257/_pdf"", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": """", ""source_name"": ""Journal of Photopolymer Science and Technology"", ""source_type"": ""journal"", ""source_is_in_doaj"": false}]",oa_pdf_candidate
64,zotero_UVDJM6RV,UVDJM6RV,10.1002/pola.29254,Conjugated carbazole-based schiff bases as photoinitiators: From facile synthesis to efficient two-photon polymerization,DEC 1 2018,JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,journalArticle,primary_or_methods,25,KKXJVLWA,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2896272843,https://doi.org/10.1002/pola.29254,Conjugated Carbazole‐Based Schiff Bases as Photoinitiators: From Facile Synthesis to Efficient Two‐Photon Polymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1002/pola.29254,,,,https://doi.org/10.1002/pola.29254,[],oa_landing_candidate
65,zotero_BIEC6L3B,BIEC6L3B,10.1002/adem.201600686,Optimized photoinitiator for fast two-photon absorption polymerization of polyester-macromers for tissue engineering,2017-03,ADVANCED ENGINEERING MATERIALS,journalArticle,primary_or_methods,25,UIAXPZ69,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2576770306,https://doi.org/10.1002/adem.201600686,Optimized Photoinitiator for Fast Two‐Photon Absorption Polymerization of Polyester‐Macromers for Tissue Engineering,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1002/adem.201600686,,,,https://doi.org/10.1002/adem.201600686,[],oa_landing_candidate
66,zotero_QTRYUBAG,QTRYUBAG,10.1039/c0jm04025h,Novel photoinitiator with a radical quenching moiety for confining radical diffusion in two-photon induced photopolymerization,2011,JOURNAL OF MATERIALS CHEMISTRY,journalArticle,primary_or_methods,25,UIAXPZ69,0,0,,,,,legal_source_lookup_required,rank=25; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2155010104,https://doi.org/10.1039/c0jm04025h,Novel photoinitiator with a radical quenching moiety for confining radical diffusion in two-photon induced photopolymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1039/c0jm04025h,,,,https://doi.org/10.1039/c0jm04025h,[],oa_landing_candidate
67,zotero_PHYWVHQT,PHYWVHQT,10.1039/c5ra11350d,One/two-photon-sensitive photoacid generators based on benzene oligomer-containing D-π-A-type aryl dialkylsulfonium salts,2015,RSC Advances,journalArticle,primary_or_methods,24,YCCIU4QW,2,0,,,,,legal_source_lookup_required,rank=24; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W1866687527,https://doi.org/10.1039/c5ra11350d,One/two-photon-sensitive photoacid generators based on benzene oligomer-containing D–π–A-type aryl dialkylsulfonium salts,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1039/c5ra11350d,,,,https://doi.org/10.1039/c5ra11350d,[],oa_landing_candidate
68,zotero_ZAHVQZYL,ZAHVQZYL,,Application of riboflavin as water-soluble photoinitiator for fabrication of tissue engineering scaffolds via two-photon polymerization,2012-09,JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE,journalArticle,primary_or_methods,24,K4R6WH4Z,0,0,,,,,legal_source_lookup_required,rank=24; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,,,,title_match_below_threshold:0.419,,unknown,,,,,not_probed,,,,,,[],no_openalex_oa_location
69,zotero_V2ASFJK9,V2ASFJK9,10.1007/s00340-022-07888-7,Two-photon absorption cross-section investigation of visible-light photoinitiators under Q-switched Nd:YAG nanosecond pulse laser at 1064 nm,2022-09,APPLIED PHYSICS B-LASERS AND OPTICS,journalArticle,primary_or_methods,23,S8I9D9GG,0,0,,,,,legal_source_lookup_required,rank=23; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4290999298,https://doi.org/10.1007/s00340-022-07888-7,Two-photon absorption cross-section investigation of visible-light photoinitiators under Q-switched Nd:YAG nanosecond pulse laser at 1064 nm,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1007/s00340-022-07888-7,,,,https://doi.org/10.1007/s00340-022-07888-7,[],oa_landing_candidate
70,zotero_6LCBE37H,6LCBE37H,,Two-photon activable photoacid generators and their applications,2011,Progress in Chemistry,journalArticle,primary_or_methods,23,YCCIU4QW;GDNV9CL9,2,0,,,,,legal_source_lookup_required,rank=23; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,,,,title_match_below_threshold:0.625,,unknown,,,,,not_probed,,,,,,[],no_openalex_oa_location
71,zotero_FSHPBIZI,FSHPBIZI,10.1021/acsami.5c00344,Universal Intermolecular Energy Transfer Strategy for Extending Initiator Libraries of Photoinhibited Multiphoton Lithography,2025 APR 10,ACS APPLIED MATERIALS & INTERFACES,journalArticle,primary_or_methods,21,GDNV9CL9;YCCIU4QW,2,0,,,,,legal_source_lookup_required,rank=21; matched=two photon polymerization; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4409329089,https://doi.org/10.1021/acsami.5c00344,Universal Intermolecular Energy Transfer Strategy for Extending Initiator Libraries of Photoinhibited Multiphoton Lithography,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1021/acsami.5c00344,,,,https://doi.org/10.1021/acsami.5c00344,[],oa_landing_candidate
72,zotero_CAFEJCFJ,CAFEJCFJ,10.1016/j.eurpolymj.2023.112636,Effect of substituents on the performance of N-carbazolyl double benzylidene ketones in visible/NIR light one/two-photon polymerization,2024,European Polymer Journal,journalArticle,primary_or_methods,21,YCCIU4QW;GDNV9CL9;S8I9D9GG,2,0,,,,,legal_source_lookup_required,rank=21; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4389060278,https://doi.org/10.1016/j.eurpolymj.2023.112636,Effect of substituents on the performance of N-carbazolyl double benzylidene ketones in visible/NIR light one/two-photon polymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.eurpolymj.2023.112636,,,,https://doi.org/10.1016/j.eurpolymj.2023.112636,[],oa_landing_candidate
73,zotero_U269VFMA,U269VFMA,10.1364/oe.461969,Model for polymerization and self-deactivation in two-photon nanolithography,2022-07,Optics Express,journalArticle,primary_or_methods,20,QJ3E9TKV;4PTLB29Y,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W4283580817,https://doi.org/10.1364/oe.461969,Model for polymerization and self-deactivation in two-photon nanolithography,doi_exact,True,gold,,,,,not_probed,https://doi.org/10.1364/oe.461969,publishedVersion,,Optics Express,https://doi.org/10.1364/oe.461969,"[{""landing_page_url"": ""https://doi.org/10.1364/oe.461969"", ""pdf_url"": """", ""is_oa"": true, ""version"": ""publishedVersion"", ""license"": """", ""source_name"": ""Optics Express"", ""source_type"": ""journal"", ""source_is_in_doaj"": true}]",oa_landing_candidate
74,zotero_3BYUS84N,3BYUS84N,10.1016/j.addma.2021.102358,"Ultrafast, high-resolution and large-size three-dimensional structure manufacturing through high-efficiency two-photon polymerization initiators",2021-11,ADDITIVE MANUFACTURING,journalArticle,primary_or_methods,20,KKXJVLWA,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W3204087431,https://doi.org/10.1016/j.addma.2021.102358,"Ultrafast, high-resolution and large-size three-dimensional structure manufacturing through high-efficiency two-photon polymerization initiators",doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1016/j.addma.2021.102358,,,,https://doi.org/10.1016/j.addma.2021.102358,[],oa_landing_candidate
75,zotero_FVVTU6QA,FVVTU6QA,10.15199/62.2020.5.4,Phenazine derivatives as dye photoinitiators of radical polymerization of trimethylolpropane triacrylate. Impact of quantum yield of triplet state formation on photoinitiation efficiency,2020-05,PRZEMYSL CHEMICZNY,journalArticle,primary_or_methods,20,UIAXPZ69,0,0,,,,,legal_source_lookup_required,rank=20; matched=triplet; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W3025003156,https://doi.org/10.15199/62.2020.5.4,Pochodne fenazyny jako fotoinicjatory polimeryzacji rodnikowej triakrylanu trimetylolopropanu. Wpływ wydajności kwantowej tworzenia stanu trypletowego na efektywność fotoinicjowania,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.15199/62.2020.5.4,,,,https://doi.org/10.15199/62.2020.5.4,[],oa_landing_candidate
76,zotero_E8HE3DYQ,E8HE3DYQ,10.1002/cptc.201900246,Conjugated bifunctional carbazole-based oxime esters: Efficient and versatile photoinitiators for 3D printing under one- and two-photon excitation,2020-03,CHEMPHOTOCHEM,journalArticle,primary_or_methods,20,KKXJVLWA,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2998272602,https://doi.org/10.1002/cptc.201900246,Conjugated Bifunctional Carbazole‐Based Oxime Esters: Efficient and Versatile Photoinitiators for 3D Printing under One‐ and Two‐Photon Excitation,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1002/cptc.201900246,,,,https://doi.org/10.1002/cptc.201900246,[],oa_landing_candidate
77,zotero_MRPWJ2UY,MRPWJ2UY,10.1039/c4tb00414k,A water soluble initiator prepared through host-guest chemical interaction for microfabrication of 3D hydrogels via two-photon polymerization,2014,JOURNAL OF MATERIALS CHEMISTRY B,journalArticle,primary_or_methods,20,KKXJVLWA,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2126048797,https://doi.org/10.1039/c4tb00414k,A water soluble initiator prepared through host–guest chemical interaction for microfabrication of 3D hydrogels via two-photon polymerization,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1039/c4tb00414k,,,,https://doi.org/10.1039/c4tb00414k,[],oa_landing_candidate
78,zotero_89EZMLW2,89EZMLW2,10.1039/c3ra42918k,Initiation efficiency and cytotoxicity of novel water-soluble two-photon photoinitiators for direct 3D microfabrication of hydrogels,2013,RSC ADVANCES,journalArticle,primary_or_methods,20,IJ7VTZ4F,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2032695302,https://doi.org/10.1039/c3ra42918k,Initiation efficiency and cytotoxicity of novel water-soluble two-photon photoinitiators for direct 3D microfabrication of hydrogels,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1039/c3ra42918k,,,,https://doi.org/10.1039/c3ra42918k,[],oa_landing_candidate
79,zotero_CYLNUJ6J,CYLNUJ6J,10.1002/pola.22078,One- and two-photon activity of cross-conjugated photoinitiators with bathochromic shift,AUG 1 2007,JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,journalArticle,primary_or_methods,20,IJ7VTZ4F,0,0,,,,,legal_source_lookup_required,rank=20; matched=two-photon; local_pdf=False; study_type=primary_or_methods,OpenAlex,2026-08-28T09:15:56.105422+00:00,https://openalex.org/W2153548147,https://doi.org/10.1002/pola.22078,One‐ and two‐photon activity of cross‐conjugated photoinitiators with bathochromic shift,doi_exact,False,closed,,,,,not_probed,https://doi.org/10.1002/pola.22078,,,,https://doi.org/10.1002/pola.22078,[],oa_landing_candidate
