source_id,doi,title,year,journal,source_type,topic_scope,evidence_record_count,evidence_location,evidence_use_summary,metadata_status,status,zotero_keys,candidate_anchor_count,audited_evidence_count,zotero_parse_status,doi_merge_relation
SRC020,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,2024,ACS Applied Polymer Materials,journal-article,2PL;2PP;LED;TPP;bio;cationic; Type-I; Type-II; boundary_excluded; mixed_or_unknown,13,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,PJQEIM6F,16,6,parsed,doi_overlap_with_zotero
SRC021,10.1021/cm500612w,"π-Expanded Ketocoumarins as Efficient, Biocompatible Initiators for Two-Photon-Induced Polymerization",2014,Chemistry of Materials,journal-article,2PP;FRP;LED;TPP;bio; TPP-specific; Type-I; Type-II; boundary_excluded,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC022,10.1021/ja991990v,Near-IR Two-Photon Photoinitiated Polymerization Using a Fluorone/Amine Initiating System,2000,Journal of the American Chemical Society,journal-article,Type-I; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC023,10.1021/ma301770a,A Straightforward Synthesis and Structure–Activity Relationship of Highly Efficient Initiators for Two-Photon Polymerization,2013,Macromolecules,journal-article,2PP;TPP;bio; TPP-specific; Type-I; Type-II_or_optical_boundary; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC024,10.1021/ma302641d,Panchromatic Type II Photoinitiator for Free Radical Polymerization Based on Thioxanthone Derivative,2013,Macromolecules,journal-article,Type-I; Type-II; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC025,10.1038/s41598-018-35301-x,"Wavelength-optimized Two-Photon Polymerization Using Initiators Based on Multipolar Aminostyryl-1,3,5-triazines",2018,Scientific Reports,journal-article,2PP;LED;TPP;bio; SET/PET_or_optical; TPP-specific; Type-I; boundary_excluded,8,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC026,10.1039/c6ra27176f,Photoinitiators for two-photon polymerisation: effect of branching and viscosity on polymerisation thresholds,2017,RSC Advances,journal-article,LED;TPP;bio; SET/PET_or_optical; TPP-specific; Type-I; boundary_excluded,7,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC027,10.3390/polym15020342,High-Performance Photoinitiating Systems for LED-Induced Photopolymerization,2023,Polymers,journal-article,FRP;LED;bio;cationic; Type-I; Type-II; boundary_excluded; mixed_or_unknown,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC028,10.3390/polym15051148,Latest Advances in Highly Efficient Dye-Based Photoinitiating Systems for Radical Polymerization,2023,Polymers,journal-article,Type-I; boundary_excluded,6,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC029,10.3390/polym15214202,Recent Advances in Monocomponent Visible Light Photoinitiating Systems Based on Sulfonium Salts,2023,Polymers,journal-article,LED; Type-I; boundary_excluded; mixed_or_unknown,9,formalised mechanism and route evidence table; literature evidence extraction table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC030,10.1016/j.eurpolymj.2023.112597,Recent advances on phenothiazine-based oxime esters as visible light photoinitiators of polymerization,2024,European Polymer Journal,journal-article,Type-I,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC031,10.1016/j.dyepig.2023.111202,Photoinitiation behavior of phenothiazines containing two oxime ester functionalities (OXEs) in free radical photopolymerization and 3D printing application,2023,Dyes and Pigments,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC032,10.1016/j.eurpolymj.2023.111901,A review on recently proposed oxime ester photoinitiators,2023,European Polymer Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC033,10.1039/c3tc00623a,Synthesis and two-photon properties of a novel multi-branched chromophore with an unsymmetrically substituted scaffold derived from functionalized quinoxalinoid heterocycles,2013,Journal of Materials Chemistry C,journal-article,Type-I; SET/PET_or_optical; Type-II_or_donor_tuned; SET/PET_or_optical,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC034,10.1002/cphc.201402646,"π‐Expanded α,β‐Unsaturated Ketones: Synthesis, Optical Properties, and Two‐Photon‐Induced Polymerization",2014,ChemPhysChem,journal-article,SET/PET_or_optical,2,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC035,10.1039/b609309d,"Carbazole-based 1D and 2D hemicyanines: synthesis, two-photon absorption properties and application for two-photon photopolymerization 3D lithography",2007,New Journal of Chemistry,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC036,10.1039/c8me00101d,Towards efficient initiators for two-photon induced polymerization: fine tuning of the donor/acceptor properties,2019,Molecular Systems Design & Engineering,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,U5ZNIGNS,20,0,parsed,doi_overlap_with_zotero
SRC037,10.1002/ejoc.201300345,"Synthesis and Two‐Photon Absorption Properties of Symmetrical Chromophores Derived from 2,3,5‐Trisubstituted Quinoxaline Units",2013,European Journal of Organic Chemistry,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC038,10.1021/jp050368o,"The Ultrafast Dynamics and Nonlinear Optical Properties of Tribranched Styryl Derivatives Based on 1,3,5-Triazine",2005,The Journal of Physical Chemistry B,journal-article,SET/PET_or_optical,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",publisher_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC039,10.1038/s41467-021-23170-4,Efficient 3D printing via photooxidation of ketocoumarin based photopolymerization,2021,Nature Communications,journal-article,SET/PET_or_optical; boundary_review,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC040,10.4012/dmj.2009-137,A review of the development of radical photopolymerization initiators used for designing light-curing dental adhesives and resin composites,2010,Dental Materials Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC041,10.1016/j.eurpolymj.2023.111883,The future of visible light photoinitiators of polymerization for photocrosslinking applications,2023,European Polymer Journal,journal-article,Type-I,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC042,10.1039/b900464e,Triphenylamine-modified quinoxaline derivatives as two-photon photoinitiators,2009,New Journal of Chemistry,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,PEBWL6W6,11,0,parsed,doi_overlap_with_zotero
SRC043,10.1016/j.eurpolymj.2024.112794,Recent advances on core-extended thioxanthones as efficient photoinitiators of polymerization,2024,European Polymer Journal,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC044,10.1021/acsapm.8b00165,Photopolymerization in 3D Printing,2019,ACS Applied Polymer Materials,journal-article,Type-II,1,formalised mechanism and route evidence table,"Supports evaluation criteria, molecular-representation rationale, mechanism decisions, or synthesis-route evidence.",crossref_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
SRC045,10.1021/cm200595y,Enhancement of the Two-Photon Initiating Efficiency of a Thioxanthone Derivative through a Chevron-Shaped Architecture,2011,Chemistry of Materials,journal-article,2PP;TPP;Type-II;thioxanthone;QM-reference,3,local full-text extraction; panel-1 source card; QM comparison asset,"Provides source-linked evidence for joint optical, radical-initiation, formulation and polymerisation evaluation; thioxanthone family/topology representation; and MDEA-assisted hydrogen-transfer context.",publisher_verified,traceable_source,,0,0,not_in_current_zotero_batch,c1_only
ZOT0001,10.1016/j.dyepig.2017.02.040,Study on a series of water-soluble photoinitiators for fabrication of 3D hydrogels by two-photon polymerization,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,2SCTZD9L,19,0,parsed,new_doi
ZOT0002,10.1016/j.addma.2021.102358,"Ultrafast, high-resolution and large-size three-dimensional structure manufacturing through high-efficiency two-photon polymerization initiators",,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,3BYUS84N,0,0,not_started,new_doi
ZOT0003,10.1016/s1010-6030(03)00394-0,Two-photon absorption cross-sections of common photoinitiators,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,3TYUTA6K,9,0,parsed,new_doi
ZOT0004,10.1002/adom.201901040,On the schwarzschild effect in 3D two-photon laser lithography,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,3UHK5MQX,17,0,parsed,new_doi
ZOT0005,10.1002/adfm.201203880,Hydrogels for two-photon polymerization: a toolbox for mimicking the extracellular matrix,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,4UUBRRGP,20,0,parsed,new_doi
ZOT0006,10.1016/j.eurpolymj.2024.113176,Efficient and safe coumarin-carbazole-based oxime esters for one/two-photon polymerization of LEDs/NIR light,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,5TV7FKVK,16,0,parsed,new_doi
ZOT0007,10.1016/j.eurpolymj.2021.110525,"One/two-photon sensitive sulfonium salt photoinitiators based on 1,3,5-triphenyl-2-pyrazoline",,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,62KD2ECJ,13,0,parsed,new_doi
ZOT0008,,Two-photon activable photoacid generators and their applications,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,6LCBE37H,0,0,not_started,no_doi_new_source
ZOT0009,10.1038/17989,Two-photon polymerization initiators for three-dimensional optical data storage and microfabrication,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,6ZQ3VP63,14,18,parsed,new_doi
ZOT0010,10.1039/c4tc00706a,Two-photon lithography in visible and NIR ranges using multibranched-based sensitizers for efficient acid generation,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,87BWABRN,15,0,parsed,new_doi
ZOT0011,10.1039/c3ra42918k,Initiation efficiency and cytotoxicity of novel water-soluble two-photon photoinitiators for direct 3D microfabrication of hydrogels,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,89EZMLW2,0,0,not_started,new_doi
ZOT0012,10.1016/j.jphotochem.2007.03.002,"Synthesis, optical and initiating properties of new two-photon polymerization initiators-2,7-bis(styryl)anthraquinone derivatives",,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,95TT3IKI,19,12,parsed,new_doi
ZOT0013,10.1016/j.eurpolymj.2020.110209,Imidazole-containing photoinitiators for fabrication of sub-micron structures by 3D two-photon polymerization,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,A7T5Q7PK,15,0,parsed,new_doi
ZOT0014,10.1063/1.2717532,Improving spatial resolution of two-photon microfabrication by using photoinitiator with high initiating efficiency,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,A8D94H4N,12,0,parsed,new_doi
ZOT0015,10.37188/lam.2023.004,Two-photon photopolymerization directly initiated by spiropyran photochromic molecules,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,AU74BQZ6,19,0,parsed,new_doi
ZOT0016,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,B6CWSYVW,9,6,parsed,new_doi
ZOT0017,10.1016/j.eurpolymj.2023.112636,Effect of substituents on the performance of N-carbazolyl double benzylidene ketones in visible/NIR light one/two-photon polymerization,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,CAFEJCFJ,0,0,not_started,new_doi
ZOT0018,10.1002/pola.22078,One- and two-photon activity of cross-conjugated photoinitiators with bathochromic shift,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,CYLNUJ6J,0,0,not_started,new_doi
ZOT0019,10.1038/s41377-023-01188-1,A new function of photochromic spiropyran: an efficient photoinitiator for two-photon polymerization,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,D3WL6CAT,7,0,parsed,new_doi
ZOT0020,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,D47BE9ZL,8,0,parsed,new_doi
ZOT0021,,"An Evidence-Guided, Mechanism-Aware Workflow for Functional Molecular Materials Discovery: Two-Photon Photoinitiators as a Demonstration",,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,D6JVVDG4,16,0,parsed,no_doi_new_source
ZOT0022,10.2217/rme.13.60,Two-photon polymerization of polyethylene glycol diacrylate scaffolds with riboflavin and triethanolamine used as a water-soluble photoinitiator,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,DV89B7W8,16,0,parsed,new_doi
ZOT0023,10.1021/acsami.5c00344,Universal Intermolecular Energy Transfer Strategy for Extending Initiator Libraries of Photoinhibited Multiphoton Lithography,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,FSHPBIZI,0,0,not_started,new_doi
ZOT0024,10.15199/62.2020.5.4,Phenazine derivatives as dye photoinitiators of radical polymerization of trimethylolpropane triacrylate. Impact of quantum yield of triplet state formation on photoinitiation efficiency,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,metadata_only,traceable_source,FVVTU6QA,0,0,not_started,new_doi
ZOT0025,10.1039/c9cc02923k,A two-photon active chevron-shaped type i photoinitiator designed for 3D stereolithography,,,zotero_literature,two-photon;photoinitiator;polymerization,,zotero_public_merge_v3_20260828,Zotero-derived source metadata and page-level field evidence; claim limits preserved.,parsed_fulltext,traceable_source,G6JRPM8H,16,0,parsed,new_doi
