zotero_key,doi,title,merged_source_id,merge_basis,candidate_anchor_count,audited_evidence_count,parse_status
A8D94H4N,10.1063/1.2717532,Improving spatial resolution of two-photon microfabrication by using photoinitiator with high initiating efficiency,ZOT0014,new_doi,12,0,parsed
AU74BQZ6,10.37188/lam.2023.004,Two-photon photopolymerization directly initiated by spiropyran photochromic molecules,ZOT0015,new_doi,19,0,parsed
B6B7CEZ3,10.1021/acsapm.0c01291,Substituted Thioxanthone-Based Photoinitiators for Efficient Two-Photon Direct Laser Writing Polymerization with Two-Color Resolution,SRC018,doi_exact_to_c1,21,0,parsed
B6CWSYVW,10.1364/OL.27.001348,Three-dimensional microfabrication by two-photon-initiated polymerization with a low-cost microlaser,ZOT0016,new_doi,9,6,parsed
BIEC6L3B,10.1002/adem.201600686,Optimized photoinitiator for fast two-photon absorption polymerization of polyester-macromers for tissue engineering,SRC001,doi_exact_to_c1,0,0,not_started
CAFEJCFJ,10.1016/j.eurpolymj.2023.112636,Effect of substituents on the performance of N-carbazolyl double benzylidene ketones in visible/NIR light one/two-photon polymerization,ZOT0017,new_doi,0,0,not_started
CYLNUJ6J,10.1002/pola.22078,One- and two-photon activity of cross-conjugated photoinitiators with bathochromic shift,ZOT0018,new_doi,0,0,not_started
D3WL6CAT,10.1038/s41377-023-01188-1,A new function of photochromic spiropyran: an efficient photoinitiator for two-photon polymerization,ZOT0019,new_doi,7,0,parsed
D47BE9ZL,10.1166/jnn.2013.6011,Two-photon induced photopolymerization using photoinitiator with an intramolecular radical quenching moiety for nanolithography,ZOT0020,new_doi,8,0,parsed
D6JVVDG4,,"An Evidence-Guided, Mechanism-Aware Workflow for Functional Molecular Materials Discovery: Two-Photon Photoinitiators as a Demonstration",ZOT0021,no_doi_new_source,16,0,parsed
DV89B7W8,10.2217/rme.13.60,Two-photon polymerization of polyethylene glycol diacrylate scaffolds with riboflavin and triethanolamine used as a water-soluble photoinitiator,ZOT0022,new_doi,16,0,parsed
E8HE3DYQ,10.1002/cptc.201900246,Conjugated bifunctional carbazole-based oxime esters: Efficient and versatile photoinitiators for 3D printing under one- and two-photon excitation,SRC005,doi_exact_to_c1,0,0,not_started
ERXDCAS7,10.1002/chem.202104191,From Light to Structure: Photo Initiators for Radical Two-Photon Polymerization,SRC003,doi_exact_to_c1,0,0,not_started
F3Z8Z2W6,10.1016/j.jphotochem.2023.114743,New water-soluble photo-initiators for two-photon polymerization based on benzylidene cyclopentanones,SRC007,doi_exact_to_c1,0,0,not_started
FSHPBIZI,10.1021/acsami.5c00344,Universal Intermolecular Energy Transfer Strategy for Extending Initiator Libraries of Photoinhibited Multiphoton Lithography,ZOT0023,new_doi,0,0,not_started
FVVTU6QA,10.15199/62.2020.5.4,Phenazine derivatives as dye photoinitiators of radical polymerization of trimethylolpropane triacrylate. Impact of quantum yield of triplet state formation on photoinitiation efficiency,ZOT0024,new_doi,0,0,not_started
G6JRPM8H,10.1039/c9cc02923k,A two-photon active chevron-shaped type i photoinitiator designed for 3D stereolithography,ZOT0025,new_doi,16,0,parsed
GAG9RQRT,10.1364/AO.54.007020,"Study of the two-photon excitation of photoinitiator in various solvents, and the two-photon polymerization process",ZOT0026,new_doi,15,0,parsed
H5G5DD8B,10.1002/polb.24891,Tailored thioxanthone-based photoinitiators for two-photon-controllable polymerization and nanolithographic printing,SRC006,doi_exact_to_c1,20,0,parsed
H86SV53N,10.1021/la803803m,Three-dimensional biodegradable structures fabricated by two-photon polymerization,ZOT0027,new_doi,4,12,parsed
HN8QFB4C,10.1016/j.addma.2023.103741,Copper complex-based photoinitiator for high resolution two-photon polymerization,ZOT0028,new_doi,0,0,not_started
HQ8Q76PZ,10.1002/adma.202211702,Quantum dots facilitate 3D two-photon laser lithography,ZOT0029,new_doi,0,0,parsed
IMCYIYET,,Evidence guided mechanism aware workflow for two photon photoinitiator discovery,ZOT0030,no_doi_new_source,16,0,parsed
IMP7ZNX3,10.1016/j.dyepig.2016.06.023,One/two-photon cationic polymerization in visible and near infrared ranges using two-branched sulfonium salts as efficient photoacid generators,ZOT0031,new_doi,0,0,not_started
INAWB8HL,10.1115/1.4000097,Process sensitivity analysis and resolution prediction for the two photon polymerization of micro/nano structures,ZOT0032,new_doi,20,16,parsed
IYEGSI2X,10.1016/j.apsusc.2007.08.011,Functional polymers by two-photon 3D lithography,ZOT0033,new_doi,6,5,parsed
KGTMFSEV,10.3390/polym15010071,Benzylidene cyclopentanone derivative photoinitiator for two-photon photopolymerization-photochemistry and 3D structures fabrication for x-ray application,ZOT0034,new_doi,0,0,not_started
KGWA2AJ6,10.1007/s00339-007-4367-0,Two-photon absorption spectrum of the photoinitiator Lucirin TPO-L,ZOT0035,new_doi,8,0,parsed
LF43QEJD,10.1109/ICOP56156.2022.9911711,The influence of photoinitiator concentration on the two-photon polymerization threshold of pentaerythritol triacrylate (PETIA) monomer,ZOT0036,new_doi,12,11,parsed
LGVQA3RI,10.1016/j.eurpolymj.2021.110505,A highly biocompatible bio-ink for 3D hydrogel scaffolds fabrication in the presence of living cells by two-photon polymerization,ZOT0037,new_doi,11,0,parsed
LM7XGVES,10.3390/polym13193385,A hydrophobic derivative of ciprofloxacin as a new photoinitiator of two-photon polymerization: Synthesis and usage for the formation of biocompatible polylactide-based 3D scaffolds,ZOT0038,new_doi,0,0,not_started
LVN4MHDD,10.2494/photopolymer.32.257,Conjugated ketocarbazoles as efficient photoinitiators: From facile synthesis to efficient two-photon polymerization,ZOT0039,new_doi,21,13,parsed
MRPWJ2UY,10.1039/c4tb00414k,A water soluble initiator prepared through host-guest chemical interaction for microfabrication of 3D hydrogels via two-photon polymerization,ZOT0040,new_doi,0,0,not_started
MVY2JWKZ,10.1063/1.2917810,Two-photon induced fabrication of gold microstructures in polystyrene sulfonate thin films using a ruthenium(II) dye as photoinitiator,ZOT0041,new_doi,11,0,parsed
MZLGYQTP,10.1016/j.jphotochem.2009.02.007,A water-soluble two-photon photopolymerization initiation system: Methylated-β-cyclodextrin complex of xanthene dye/aryliodonium salt,ZOT0042,new_doi,14,11,parsed
NGE4C28I,10.1021/acsami.1c02227,Ionic Carbazole-Based Water-Soluble Two-Photon Photoinitiator and the Fabrication of Biocompatible 3D Hydrogel Scaffold,SRC016,doi_exact_to_c1,17,0,parsed
PEBWL6W6,10.1039/b900464e,Triphenylamine-modified quinoxaline derivatives as two-photon photoinitiators,SRC042,doi_exact_to_c1,11,0,parsed
PHYWVHQT,10.1039/c5ra11350d,One/two-photon-sensitive photoacid generators based on benzene oligomer-containing D-π-A-type aryl dialkylsulfonium salts,ZOT0043,new_doi,0,0,not_started
PJQEIM6F,10.1021/acsapm.4c00932,Heteroatom/Heterocycle-Substituted Ketone Dyes as Efficient Photoinitiators in Visible Light-Emitting Diode/Near Infrared Light Photopolymerization with Enhanced Two-Photon Lithography Capability,SRC020,doi_exact_to_c1,16,6,parsed
QH8XLKS5,10.1016/j.polymer.2017.04.039,Localized polymerization using single photon photoinitiators in two photon process for fabricating subwavelength structures,ZOT0044,new_doi,20,0,parsed
QTRYUBAG,10.1039/c0jm04025h,Novel photoinitiator with a radical quenching moiety for confining radical diffusion in two-photon induced photopolymerization,ZOT0045,new_doi,0,0,not_started
RK5TXPZ5,10.1364/OE.6.000064,Two-photon holography in 3-D photopolymer host-guest matrix,ZOT0046,new_doi,8,12,parsed
RU8URT2Z,,Mechanism aware discovery of radical two photon photoinitiators from accessible chemical space,ZOT0047,no_doi_new_source,16,0,parsed
RXLQF5PE,10.1016/j.eurpolymj.2012.09.012,Influence of UV irradiation and two photon processing on the cinnamate monomers polymerization and formation of hybrid composites with nanosized ZnO,ZOT0048,new_doi,7,0,parsed
RYHTRLJR,10.1021/acsapm.5c01802,High- and low-fluorescent photoinitiators for multiphoton lithography,ZOT0049,new_doi,0,0,not_started
RZAZ6SD2,10.1021/acsami.8b15011,Cucurbit[7]uril-Carbazole two-photon photoinitiators for the fabrication of biocompatible three-dimensional hydrogel scaffolds by laser direct writing in aqueous solutions,ZOT0050,new_doi,14,0,parsed
S7XPYQQM,10.1364/OL.22.000132,Three-dimensional microfabrication with two-photon-absorbed photopolymerization,ZOT0051,new_doi,5,16,parsed
SKGHKY8Q,,New free radical and cationic photoinitiators for two-photon 3D printing,ZOT0052,no_doi_new_source,0,0,not_started
SRU6DZHE,10.1021/acs.macromol.0c01518,Polymerization photoinitiators with near-resonance enhanced two-photon absorption cross-section: Toward high-resolution photoresist with improved sensitivity,SRC010,doi_exact_to_c1,21,4,parsed
T6JEH49G,10.1039/c4py00424h,π-Conjugated sulfonium-based photoacid generators: An integrated molecular approach for efficient one and two-photon polymerization,ZOT0053,new_doi,0,0,not_started
TN4FRK7S,10.1080/15685551.2015.1092008,Synthesis of new photoactive urethane carbohydrates and their behavior in UV or femtosecond laser-induced two-photon polymerization,ZOT0054,new_doi,6,0,parsed
TSTS6L69,10.1002/adfm.200400212,Acrylate-based photopolymer for two-photon microfabrication and photonic applications,ZOT0055,new_doi,2,7,parsed
TXIFG7RW,10.1016/j.snb.2019.127345,Light-driven micron-scale 3D hydrogel actuator produced by two-photon polymerization microfabrication,ZOT0056,new_doi,11,0,parsed
U269VFMA,10.1364/oe.461969,Model for polymerization and self-deactivation in two-photon nanolithography,ZOT0057,new_doi,0,0,not_started
U5ZNIGNS,10.1039/c8me00101d,Towards efficient initiators for two-photon induced polymerization: fine tuning of the donor/acceptor properties,SRC036,doi_exact_to_c1,20,0,parsed
UVDJM6RV,10.1002/pola.29254,Conjugated carbazole-based schiff bases as photoinitiators: From facile synthesis to efficient two-photon polymerization,ZOT0058,new_doi,0,0,not_started
V2ASFJK9,10.1007/s00340-022-07888-7,Two-photon absorption cross-section investigation of visible-light photoinitiators under Q-switched Nd:YAG nanosecond pulse laser at 1064 nm,ZOT0059,new_doi,0,0,not_started
V8BAREKK,10.1039/d2tc00331g,Geometry-driven mass transport dynamics within permeable 3D-microstructures fabricated via two-photon polymerization,ZOT0060,new_doi,22,0,parsed
W34GJWXV,10.1016/j.jphotochem.2010.07.016,Two-photon polymerization of a diacrylate using fluorene photoinitiators-sensitizers,ZOT0061,new_doi,0,0,not_started
WD4L7CWE,10.1016/j.eurpolymj.2019.109295,Microfabrication of 3D-hydrogels via two-photon polymerization of poly(2-ethyl-2-oxazoline) diacrylates,ZOT0062,new_doi,20,0,parsed
WDS2AJMV,10.1002/cjoc.70529,Alkyl/cycloketonic modulations in photoinitiator molecular engineering for efficient multiphoton polymerization†,ZOT0063,new_doi,0,0,not_started
X4RTKEJL,10.1088/1758-5082/3/2/025003,Fabrication of 2D protein microstructures and 3D polymer-protein hybrid microstructures by two-photon polymerization,ZOT0064,new_doi,16,0,parsed
X93SDATL,10.18063/ijb.752,Synthesis of biocompatible BSA-GMA and two-photon polymerization of 3D hydrogels with free radical type I photoinitiator,ZOT0065,new_doi,0,0,not_started
XAY2YYCX,10.1021/ma9007785,Structure-activity relationship in d-π-a-π-d-based photoinitiators for the two-photon-induced photopolymerization process,ZOT0066,new_doi,23,0,parsed
Y9LBCT6W,10.1016/j.eurpolymj.2025.114046,"Novel indane-1,3-dione derivatives as photoinitiators for one- and two-photon photopolymerization",ZOT0067,new_doi,0,0,not_started
ZAHVQZYL,,Application of riboflavin as water-soluble photoinitiator for fabrication of tissue engineering scaffolds via two-photon polymerization,ZOT0068,no_doi_new_source,0,0,not_started
ZI5SFNAQ,10.1002/adom.202200474,Photoinitiator-free two-photon polymerization of biocompatible materials for 3D micro/nanofabrication,ZOT0069,new_doi,20,0,parsed
